file	fac1	fac2	fac3	fac4	fac5	fac6
fat000000	1	0	0	2	8	0
fat000001	0	0	-1	3	2	0
fat000002	0	2	-1	3	-1	0
fat000003	0	1	-1	3	1	0
fat000004	1	1	1	7	0	0
fat000005	1	0	-1	3	9	0
fat000006	3	2	4	1	0	0
fat000007	0	0	-1	5	3	0
fat000008	7	8	1	8	9	0
fat000009	2	7	1	4	2	1
fat000010	0	3	1	3	1	0
fat000011	0	0	-1	4	1	0
fat000012	1	0	0	3	0	0
fat000013	0	3	1	4	0	0
fat000014	1	0	0	1	0	0
fat000015	1	0	0	2	8	0
fat000016	0	0	0	1	2	0
fat000017	0	3	-3	5	0	0
fat000018	0	0	0	2	2	0
fat000019	1	0	-1	3	9	0
fat000020	1	2	0	0	0	0
fat000021	0	4	0	2	0	0
fat000022	0	3	1	0	1	0
fat000023	1	6	-1	1	0	0
fat000024	1	5	-1	0	0	1
fat000025	1	1	0	6	3	0
fat000026	0	1	-1	3	1	0
fat000027	0	3	1	4	0	0
fat000028	1	0	0	1	0	0
fat000029	3	0	1	4	5	0
fat000030	0	1	-2	7	0	0
fat000031	0	0	0	2	0	0
fat000032	1	1	-1	0	8	0
fat000033	3	2	1	3	2	2
fat000034	2	2	0	2	1	0
fat000035	1	3	0	1	1	0
fat000036	0	1	0	2	0	0
fat000037	0	1	-1	6	2	0
fat000038	0	2	-1	3	1	0
fat000039	0	2	-1	2	1	0
fat000040	0	1	0	2	0	0
fat000041	0	1	0	2	1	0
fat000042	0	1	0	2	1	0
fat000043	1	0	0	2	0	0
fat000044	0	0	0	3	0	0
fat000045	0	2	-1	4	1	0
fat000046	0	1	-1	5	0	0
fat000047	0	3	0	6	0	-1
fat000048	1	1	0	1	1	1
fat000049	1	1	2	4	1	-2
fat000050	0	4	0	5	1	1
fat000051	1	1	-1	6	1	1
fat000052	1	1	-1	3	0	1
fat000053	1	2	-2	1	0	0
fat000054	2	2	0	3	0	0
fat000055	0	5	1	1	0	0
fat000056	0	1	0	3	1	0
fat000057	0	1	0	3	1	0
fat000058	1	1	2	6	0	0
fat000059	1	1	1	4	0	0
fat000060	0	1	0	0	0	0
fat000061	0	0	0	4	0	1
fat000062	0	1	1	2	0	1
fat000063	0	0	0	2	0	0
fat000064	1	0	0	3	-1	0
fat000065	0	0	-1	3	0	0
fat000066	1	0	0	3	9	0
fat000067	0	5	-2	4	1	0
fat000068	0	5	0	6	0	0
fat000069	0	1	-1	0	5	0
fat000070	0	0	-1	3	1	0
fat000071	0	2	0	1	1	0
fat000072	0	0	-1	1	1	0
fat000073	0	3	-1	2	0	0
fat000074	0	1	0	12	0	2
fat000075	0	2	-1	11	0	0
fat000076	0	3	0	4	0	0
fat000077	1	3	4	2	1	2
fat000078	1	1	1	7	0	0
fat000079	1	6	-1	9	2	3
fat000080	2	2	2	11	1	-1
fat000081	0	1	0	8	0	1
fat000082	0	4	1	6	0	0
fat000083	0	3	1	7	1	1
fat000084	1	0	-1	3	9	0
fat000085	5	2	2	1	1	0
fat000086	1	1	-1	0	1	0
fat000087	2	0	1	0	1	0
fat000088	2	4	1	8	1	1
fat000089	1	2	1	3	1	0
fat000090	0	1	0	6	1	0
fat000091	1	1	0	8	0	0
fat000092	0	0	0	6	0	1
fat000093	2	3	2	11	2	0
fat000094	1	2	2	8	1	0
fat000095	1	1	0	9	2	0
fat000096	1	1	0	10	2	1
fat000097	1	1	1	3	4	0
fat000098	0	1	0	4	3	0
fat000099	2	3	2	11	2	0
fat000100	1	2	2	8	1	0
fat000101	1	1	1	9	1	0
fat000102	0	0	0	7	0	1
fat000103	1	1	0	4	2	0
fat000104	0	1	0	4	3	0
fat000105	1	2	0	2	5	0
fat000106	0	2	0	4	2	1
fat000107	1	1	0	3	5	0
fat000108	0	2	1	4	2	1
fat000109	0	2	1	4	1	0
fat000110	1	1	0	3	5	0
fat000111	0	2	0	5	2	1
fat000112	0	2	1	5	1	0
fat000113	0	3	1	4	1	0
fat000114	0	3	0	5	1	0
fat000115	0	3	0	6	2	0
fat000116	0	2	1	7	2	0
fat000117	0	3	0	6	2	0
fat000118	0	2	1	7	2	0
fat000119	0	1	-1	4	0	0
fat000120	1	4	3	11	0	-1
fat000121	1	3	0	10	3	0
fat000122	0	0	0	2	3	1
fat000123	0	1	0	0	3	0
fat000124	0	3	1	4	0	0
fat000125	1	0	0	1	0	0
fat000126	1	1	1	1	3	0
fat000127	1	0	0	2	8	0
fat000128	0	4	-4	7	2	0
fat000129	4	9	-1	12	6	2
fat000130	0	1	0	3	2	0
fat000131	2	1	1	8	1	0
fat000132	0	5	0	8	4	1
fat000133	0	1	0	6	1	0
fat000134	2	5	0	4	1	1
fat000135	0	0	0	4	0	0
fat000136	3	3	0	2	0	1
fat000137	11	2	1	3	1	0
fat000138	11	2	0	4	2	0
fat000139	2	0	1	3	1	0
fat000140	3	2	1	8	2	0
fat000141	0	1	-1	3	1	0
fat000142	1	0	-1	1	8	0
fat000143	0	1	0	2	0	0
fat000144	0	0	-1	3	0	0
fat000145	0	2	-1	1	1	0
fat000146	1	1	0	6	2	1
fat000147	0	2	0	6	2	1
fat000148	0	4	-1	0	2	1
fat000149	0	2	0	0	1	1
fat000150	1	4	0	8	3	0
fat000151	1	6	0	9	2	0
fat000152	2	2	0	4	0	1
fat000153	0	4	0	10	0	0
fat000154	0	0	0	6	0	1
fat000155	1	3	0	7	2	0
fat000156	0	0	1	5	1	0
fat000157	0	2	0	1	0	0
fat000158	0	2	0	3	1	0
fat000159	1	1	0	4	1	0
fat000160	2	3	-1	13	1	0
fat000161	1	2	0	7	1	0
fat000162	1	1	1	2	0	1
fat000163	0	2	0	4	2	0
fat000164	0	4	0	5	2	0
fat000165	0	2	0	2	1	1
fat000166	1	0	0	0	3	0
fat000167	1	1	1	4	2	0
fat000168	2	1	0	1	2	2
