Name1	Name2	corr
celeridade	efetividade	0.96987821
efetividade	celeridade	0.96987821
mitigar	resolver	0.94035146
resolver	mitigar	0.94035146
celeridade	prestação	0.89345277
prestação	celeridade	0.89345277
efetividade	prestação	0.8664045
prestação	efetividade	0.8664045
pertencimento	sentimento	0.86508735
sentimento	pertencimento	0.86508735
apontamento	situações	0.85396771
situações	apontamento	0.85396771
aplicado	financiar	0.82450402
financiar	aplicado	0.82450402
sessão	simular	0.81873035
simular	sessão	0.81873035
coesão	gramático	0.81637103
gramático	coesão	0.81637103
fragilidade	maioria	0.81548014
maioria	fragilidade	0.81548014
sessão	tema	0.79174186
tema	sessão	0.79174186
fragilidade	potencialidade	0.77829669
potencialidade	fragilidade	0.77829669
advir	salientar	0.77357434
salientar	advir	0.77357434
desistir	trancar	0.77106537
trancar	desistir	0.77106537
custo	preço	0.76942644
preço	custo	0.76942644
conformidade	proposição	0.76935922
proposição	conformidade	0.76935922
eficiência	produtividade	0.76591709
produtividade	eficiência	0.76591709
competitividade	produtividade	0.76538613
produtividade	competitividade	0.76538613
extra	itinerário	0.76167477
itinerário	extra	0.76167477
comércio	exterior	0.75584502
exterior	comércio	0.75584502
desempenho	metodologia	0.75027847
metodologia	desempenho	0.75027847
auferir	que	0.74969231
que	auferir	0.74969231
diálogo	negociação	0.74593821
negociação	diálogo	0.74593821
simular	tema	0.74482038
tema	simular	0.74482038
estrangeiro	língua	0.74284402
língua	estrangeiro	0.74284402
operacional	prestador	0.74084788
prestador	operacional	0.74084788
especial	portador	0.73326674
portador	especial	0.73326674
satisfação	stakeholders	0.73243191
stakeholders	satisfação	0.73243191
exemplar	título	0.73243124
título	exemplar	0.73243124
extracurricular	profissão	0.72954401
profissão	extracurricular	0.72954401
assegurar	perenidade	0.72909037
perenidade	assegurar	0.72909037
captação	extra	0.72826981
extra	captação	0.72826981
apresentação	sessão	0.71782274
sessão	apresentação	0.71782274
meta	relacionar	0.71589787
relacionar	meta	0.71589787
centrar	fator	0.71575301
fator	centrar	0.71575301
mental	saúde	0.7150583
saúde	mental	0.7150583
problema	situação	0.70921682
situação	problema	0.70921682
feira	profissão	0.70837179
profissão	feira	0.70837179
interpretar	macroeconômico	0.70678045
macroeconômico	interpretar	0.70678045
interpretação	texto	0.70598632
texto	interpretação	0.70598632
celeridade	perenidade	0.69801679
perenidade	celeridade	0.69801679
cultivo	planta	0.69647391
planta	cultivo	0.69647391
apresentação	tema	0.69439368
tema	apresentação	0.69439368
desempenho	evasão	0.69374789
evasão	desempenho	0.69374789
cultivo	fabricação	0.69364269
fabricação	cultivo	0.69364269
campo	extracurricular	0.69268308
extracurricular	campo	0.69268308
autarquia	controladoria	0.6888946
controladoria	autarquia	0.6888946
relevante	situações	0.68838959
situações	relevante	0.68838959
conflito	negociação	0.68393111
negociação	conflito	0.68393111
extracurricular	interdisciplinar	0.68318742
interdisciplinar	extracurricular	0.68318742
efetividade	perenidade	0.67687532
perenidade	efetividade	0.67687532
mão	obra	0.67028774
obra	mão	0.67028774
obstáculo	prejudicar	0.67020073
prejudicar	obstáculo	0.67020073
sudoeste	vetor	0.66871103
vetor	sudoeste	0.66871103
transmissão	vivo	0.66639327
vivo	transmissão	0.66639327
adicional	comentário	0.6650917
comentário	adicional	0.6650917
competitividade	eficiência	0.66412792
eficiência	competitividade	0.66412792
extracurricular	feira	0.66352974
feira	extracurricular	0.66352974
carga	carregamento	0.66126292
carregamento	carga	0.66126292
controladoria	perenidade	0.65805795
perenidade	controladoria	0.65805795
perenidade	prestação	0.65648824
prestação	perenidade	0.65648824
diálogo	diário	0.65493786
diário	diálogo	0.65493786
filosofia	nortear	0.65467126
nortear	filosofia	0.65467126
componente	curricular	0.65461072
curricular	componente	0.65461072
digital	jogo	0.65366651
jogo	digital	0.65366651
capitar	renda	0.64726305
renda	capitar	0.64726305
aeroporto	porto	0.64590169
porto	aeroporto	0.64590169
decisão	tomada	0.64458662
tomada	decisão	0.64458662
distrito	subprefeitura	0.64234951
subprefeitura	distrito	0.64234951
discussão	sessão	0.64049788
sessão	discussão	0.64049788
extra	governo	0.63677912
governo	extra	0.63677912
ar	condicionado	0.63457544
condicionado	ar	0.63457544
captação	itinerário	0.63434218
itinerário	captação	0.63434218
pandemia	prejudicar	0.63278231
prejudicar	pandemia	0.63278231
apresentação	simular	0.63147364
simular	apresentação	0.63147364
curricular	programático	0.62963657
programático	curricular	0.62963657
manhã	noite	0.62937756
noite	manhã	0.62937756
campo	profissão	0.62706546
profissão	campo	0.62706546
discussão	tema	0.62543486
tema	discussão	0.62543486
maioria	potencialidade	0.62281581
potencialidade	maioria	0.62281581
apontamento	relevante	0.62049279
relevante	apontamento	0.62049279
interdisciplinar	profissão	0.61846933
profissão	interdisciplinar	0.61846933
laboratorial	situações	0.61772543
situações	laboratorial	0.61772543
autor	sessão	0.61672653
nde	sessão	0.61672653
sessão	autor	0.61672653
sessão	nde	0.61672653
coworking	pintura	0.61318333
pintura	coworking	0.61318333
dirimir	personalizar	0.61180702
personalizar	dirimir	0.61180702
lembrar	nome	0.61123993
nome	lembrar	0.61123993
crítico	ética	0.61054147
ética	crítico	0.61054147
expandir	governo	0.61007093
governo	expandir	0.61007093
metodologia	situação	0.60977178
situação	metodologia	0.60977178
desempenho	situação	0.60836889
situação	desempenho	0.60836889
capacidade	extra	0.60679802
extra	capacidade	0.60679802
itinerário	otimizar	0.60562217
otimizar	itinerário	0.60562217
matutino	noturno	0.60434955
noturno	matutino	0.60434955
demonstrar	maioria	0.60364077
maioria	demonstrar	0.60364077
apresentação	discussão	0.60275538
discussão	apresentação	0.60275538
laje	parede	0.60250819
parede	laje	0.60250819
desktops	exemplar	0.60076275
exemplar	desktops	0.60076275
imigrante	rodoanel	0.59973231
rodoanel	imigrante	0.59973231
imigrante	rodovia	0.59834655
rodovia	imigrante	0.59834655
caixa	coworking	0.59689149
coworking	caixa	0.59689149
exigência	programático	0.59674514
programático	exigência	0.59674514
cultivo	ramo	0.59330475
ramo	cultivo	0.59330475
programação	torneio	0.59208991
torneio	programação	0.59208991
estruturação	programático	0.59158584
programático	estruturação	0.59158584
extensionista	lar	0.59136372
lar	extensionista	0.59136372
celeridade	produtividade	0.59130667
produtividade	celeridade	0.59130667
evasão	metodologia	0.59107251
metodologia	evasão	0.59107251
componente	programático	0.59011041
programático	componente	0.59011041
excelência	grau	0.58930154
grau	excelência	0.58930154
discussão	nde	0.58848604
nde	discussão	0.58848604
perenidade	stakeholders	0.58833994
stakeholders	perenidade	0.58833994
capitar	distrito	0.58778769
distrito	capitar	0.58778769
contratar	licença	0.58731546
licença	contratar	0.58731546
campo	interdisciplinar	0.58598189
interdisciplinar	campo	0.58598189
cultivo	embalagem	0.58428655
embalagem	cultivo	0.58428655
aeroporto	rodovia	0.58095302
rodovia	aeroporto	0.58095302
citação	norma	0.5809304
norma	citação	0.5809304
decorrente	prejudicar	0.57852447
prejudicar	decorrente	0.57852447
alcançar	grau	0.57626937
grau	alcançar	0.57626937
alcançar	excelência	0.57553779
excelência	alcançar	0.57553779
caixa	pintura	0.57548177
pintura	caixa	0.57548177
predial	situações	0.57506065
situações	predial	0.57506065
efetividade	produtividade	0.57301862
produtividade	efetividade	0.57301862
demonstrar	fragilidade	0.57282964
fragilidade	demonstrar	0.57282964
caracterizar	filosofia	0.57127269
filosofia	caracterizar	0.57127269
aula	sala	0.57088547
sala	aula	0.57088547
bibliográfico	citação	0.57069938
citação	bibliográfico	0.57069938
campo	feira	0.56879266
feira	campo	0.56879266
capacidade	governo	0.56697758
governo	capacidade	0.56697758
equipar	faltar	0.56459681
faltar	equipar	0.56459681
desempenho	problema	0.5623033
problema	desempenho	0.5623033
feira	interdisciplinar	0.56099536
interdisciplinar	feira	0.56099536
certificado	emissão	0.56082576
emissão	certificado	0.56082576
discussão	simular	0.56050541
simular	discussão	0.56050541
redução	taxa	0.55960631
taxa	redução	0.55960631
situação	sociedade	0.5585274
sociedade	situação	0.5585274
expandir	extra	0.55754593
extra	expandir	0.55754593
apontamento	laboratorial	0.5574857
laboratorial	apontamento	0.5574857
celeridade	controladoria	0.55712911
controladoria	celeridade	0.55712911
advir	dentrar	0.55699353
dentrar	advir	0.55699353
prejudicar	questionário	0.55605922
questionário	prejudicar	0.55605922
governo	itinerário	0.554604
itinerário	governo	0.554604
mitigar	situação	0.55452503
situação	mitigar	0.55452503
capacidade	itinerário	0.55280703
itinerário	capacidade	0.55280703
distrito	renda	0.55112315
renda	distrito	0.55112315
caracterizar	nortear	0.55103771
nortear	caracterizar	0.55103771
interação	prestador	0.55013566
prestador	interação	0.55013566
instrumento	suscitar	0.54866759
suscitar	instrumento	0.54866759
editorial	livro	0.5485922
livro	editorial	0.5485922
prova	simular	0.54855153
simular	prova	0.54855153
planejar	prestador	0.54792829
prestador	planejar	0.54792829
lar	tratamento	0.54740811
tratamento	lar	0.54740811
conservação	predial	0.54729245
predial	conservação	0.54729245
resolver	situação	0.5472747
situação	resolver	0.5472747
autor	tema	0.5469237
nde	tema	0.5469237
tema	autor	0.5469237
tema	nde	0.5469237
secundário	terciário	0.54671598
terciário	secundário	0.54671598
montante	trabalhador	0.54660871
trabalhador	montante	0.54660871
atualização	programático	0.54555624
programático	atualização	0.54555624
meta	objetivo	0.54442833
objetivo	meta	0.54442833
transmissão	vazamento	0.54383794
vazamento	transmissão	0.54383794
vazamento	vivo	0.54383794
vivo	vazamento	0.54383794
autor	simular	0.54347095
nde	simular	0.54347095
simular	autor	0.54347095
simular	nde	0.54347095
complexo	raciocínio	0.54332511
raciocínio	complexo	0.54332511
metodologia	problema	0.54294487
problema	metodologia	0.54294487
conflito	diálogo	0.54275825
diálogo	conflito	0.54275825
emprego	formal	0.54223463
formal	emprego	0.54223463
controladoria	efetividade	0.54032624
efetividade	controladoria	0.54032624
respondente	responder	0.53924204
responder	respondente	0.53924204
objetivo	relacionar	0.53891665
relacionar	objetivo	0.53891665
capacidade	expandir	0.53745727
