_NAME_	Factor1	Factor2	Factor3	Factor4	Factor5	Factor6	load	secondary
v000008	0.0223063565	0.4209209202	0.206576149	0.257472424	-0.123268172	0.3935466466	fac6	1
v000018	-0.140182925	0.0455013078	-0.001803547	0.7376494082	-0.081436412	-0.416279864	fac6	1
v000019	0.3708873317	0.5145219471	-0.011020416	-0.105648963	-0.091702172	0.3888789372	fac6	1
v000023	-0.155493167	0.574374966	-0.204460976	-0.281044131	-0.018445268	0.2987358872		
v000024	-0.213115452	-0.288236791	-0.457149495	-0.152427853	0.4753527101	-0.189561991	fac3	1
v000027	-0.174108078	0.8080895374	-0.181832577	0.0079136844	-0.263977502	-0.108723719		
v000031	-0.127551543	-0.161739843	-0.386799268	1.0386839352	0.0272902885	0.2529116462	fac3	1
v000034	1.0068268747	0.0195878514	0.2374654982	-0.173948305	-0.107230238	-0.101235447		
v000040	-0.130769936	0.0156585162	0.5721345309	0.2859355074	-0.312661886	0.130092934	fac5	1
v000046	0.2371586005	0.1975541571	-0.027825219	-0.017918653	0.332484486	0.2509894304		
v000047	0.0688769838	0.1763534769	-0.211287625	-0.151980683	0.6851384327	0.3681851877	fac6	1
v000050	-0.197130399	-0.367668066	0.1551168801	-0.010809231	-0.294585573	-0.088987489		
v000055	-0.108501661	-0.257221334	-0.119463531	-0.096853932	0.0165326548	0.8646816982		
v000060	-0.031641092	0.5304430202	0.5096215162	-0.04658823	0.1081049004	0.0257624874	fac3	1
v000064	-0.06308664	0.0785338505	-0.075187951	-0.02415822	0.0041714575	0.0210769061		
v000067	-0.26458214	-0.249401938	-0.021153037	-0.153122	-0.069168773	0.6844015669		
v000072	-0.127110931	0.4454425355	-0.216984665	0.7820559589	0.2500989361	0.0447628556	fac2	1
v000073	1.0812071221	-0.033311351	-0.132970465	-0.182006993	-0.260858056	-0.122091523		
v000077	0.7585162814	-0.262952772	0.1860017256	0.3461859284	0.3180919436	0.06847973	fac4	1
v000087	0.2154798609	0.1462623998	0.1447579311	0.1720404155	-0.076101999	0.6208214475		
v000090	-0.302224879	-0.044035188	-0.142478554	-0.005312141	-0.438872114	-0.292987073	fac1	1
v000091	-0.275168027	0.2063076258	0.1561579257	0.3080975129	-0.265883757	0.4802463392	fac4	1
v000093	1.0699110517	-0.018446733	-0.452997	-0.208861128	-0.178533437	-0.093984565	fac3	1
v000098	-0.085006889	-0.226091724	0.4744510763	0.2623618301	-0.161245412	-0.255579681		
v000102	-0.170505868	0.8698625175	-0.161646538	0.1625042499	-0.039430486	-0.047732936		
v000104	-0.024282633	0.6347929083	-0.035751217	0.5296364012	-0.094008422	0.0754868976	fac4	1
v000107	0.2586243971	0.4133422516	0.4141085949	-0.08628823	-0.185406513	0.0024695594	fac2	1
v000111	0.1934139956	-0.008254496	0.1198243734	0.0340594979	-0.303571331	0.1896731243		
v000115	0.006150034	0.0114171086	0.5638310282	-0.300946462	0.1394206842	-0.13515085	fac4	1
v000116	-0.0479118	0.8437452999	0.1586776103	-0.161059065	0.0217493457	-0.016306177		
v000121	-0.345936184	-0.172167045	-0.49111827	-0.26776516	-0.540937055	0.4940208153	fac6	1
v000125	-0.263266289	-0.001360274	0.9869442034	-0.30066934	0.2715768033	-0.298807983	fac4	1
v000131	0.8507280417	-0.052242384	-0.063581388	0.0513997399	0.1232464412	0.1401624969		
v000133	0.9143786529	0.3349792769	0.1758708413	-0.130877059	-0.022423093	-0.237695527	fac2	1
v000135	-0.21773792	-0.318448882	-0.323195621	-0.218624923	0.4634157547	-0.188638598	fac3	1
v000136	1.0261415124	-0.16076356	-0.247919144	-0.204314484	-0.117525534	-0.056263771		
v000137	-0.134526312	0.360170056	-0.154674248	-0.256393561	0.2037465233	-0.079507262		
v000139	-0.095835273	-0.237128651	0.0224414295	0.8076266009	0.081247631	0.0721944756		
v000140	-0.320455586	-0.42647983	0.0314738696	-0.117349123	-0.436652498	0.1529248735	fac2	1
v000143	1.2179160441	-0.28548201	-0.230072887	-0.149869773	-0.263461495	-0.143404727		
v000144	-0.28898166	-0.220928554	-0.313382243	-0.271064077	0.0582800754	-0.332586592	fac3	1
v000145	-0.166153003	-0.117399613	-0.179286885	0.0567142886	0.0138943393	-0.112443175		
v000148	-0.027580267	-0.203590287	-0.183098086	-0.071001423	-0.363965814	-0.239500053		
v000152	-0.101049687	-0.056661067	-0.140918598	-0.247791439	1.0566246144	-0.074849321		
v000155	-0.147055114	-0.344663111	0.1931000288	-0.131245493	-0.355766663	-0.232763273	fac2	1
v000162	-0.301399903	-0.27604951	0.0071131716	0.3800726573	-0.284977305	-0.30406093	fac6	1
v000168	-0.281523898	-0.02238472	0.234710981	0.8267959241	-0.228198613	-0.503230241	fac6	1
v000176	1.0403258622	-0.25839929	-0.124943745	-0.081342558	0.2608584398	0.0915289809		
v000179	-0.168915118	0.0158730313	-0.134186457	-0.020485374	0.2590383937	-0.379971438		
v000180	0.0793565905	-0.221113156	-0.007157611	0.9444814699	0.0373620332	0.2048822695		
v000187	-0.091483825	0.1718988488	0.6710614518	-0.097025861	-0.046002831	0.2757419782		
v000188	0.0300612166	-0.312035354	0.3470829235	0.2887679581	0.6145023731	0.0512018508	fac3	1
v000195	-0.283498989	-0.167113208	-0.196800553	-0.1414198	-0.198889448	0.6675972951		
v000196	-0.003437502	0.3939610932	-0.147459991	-0.054406132	0.2641443961	0.5989701141	fac2	1
v000198	-0.013379754	0.5593406762	-0.005734721	-0.244868916	-0.287643551	0.2463696856		
v000199	-0.174668248	-0.098787755	-0.121870046	-0.154788243	-0.365531247	-0.157764975		
v000201	-0.096443244	-0.128073105	-0.198041514	0.0241493479	-0.158217521	-0.029896409		
v000204	0.0757942525	0.5160275367	0.4332932894	0.1035127968	0.1438922941	-0.134655317	fac3	1
v000207	-0.162582045	-0.063432451	0.0143353454	-0.069828525	-0.084268834	0.7144855848		
v000208	-0.166781976	0.5843046446	0.0042925044	0.1754436098	0.2325019429	-0.216731249		
v000222	0.0374147937	0.1542332096	0.0383940879	0.0588201105	-0.041738573	-0.113051262		
v000224	1.1445104223	-0.265780301	-0.449885364	-0.241433074	-0.373049694	-0.420200718	fac3	1
v000228	-0.205640715	0.6943176678	0.2091371381	-0.165706195	-0.335572121	0.1475305099	fac5	1
v000230	0.0432932678	0.7492958691	0.0118156671	0.2312112853	-0.087512555	-0.154272306		
v000234	-0.284429282	-0.287240973	-0.287298937	-0.215279758	-0.402922737	0.4355038448	fac5	1
v000238	0.8485076379	-0.035925758	-0.47315145	-0.028103246	0.5547801973	-0.055468591	fac5	1
v000243	-0.164681916	-0.049164539	0.0567458015	0.0483199066	-0.038309817	0.341626025		
v000244	-0.293151431	-0.315717341	-0.17939027	-0.304244123	0.118965022	-0.259343323	fac4	1
v000248	0.1250774989	0.0727956693	0.1040848728	0.9466446228	-0.111362623	-0.060249482		
v000251	0.143360135	-0.1246377	0.4311943137	0.1868485092	-3.402344E-6	0.081507819		
v000252	0.0155741242	-0.300852911	-0.281726414	0.0015114932	0.2785761428	-0.142915597		
v000257	-0.068882934	0.6693624184	-0.286526644	-0.101975612	-0.053542423	-0.152974179		
v000258	-0.213642277	-0.182685382	-0.196888425	1.1679422504	-0.289644116	-0.330117343	fac6	1
v000261	0.0323034408	0.4261117787	-0.214161538	-0.126227203	0.3111605126	0.182329175	fac5	1
v000263	0.6674036446	-0.190242682	0.1716076531	0.0456221399	0.3989509587	0.1949218683	fac5	1
v000268	-0.358041401	-0.278290174	-0.198970366	-0.387944881	0.4238130759	-0.347602936	fac4	1
v000269	0.0262992732	0.775968227	-0.072180539	0.199832301	0.0989924303	-0.11610672		
v000271	-0.251903257	0.7488503803	-0.160915218	-0.356096991	0.1448352507	0.3151846134	fac4	1
v000275	0.0299258796	-0.461920794	0.9950742393	0.4146317805	0.082813107	0.1840573608	fac2	1
v000281	-0.23301299	-0.029076581	-0.184821108	0.3179092934	-0.277843391	-0.460311742	fac4	1
v000282	-0.267798368	-0.201870612	-0.203287839	-0.192873852	-0.360327243	-0.046181794		
v000284	-0.131098238	0.650653451	-0.122064944	-0.093820235	0.4346295422	-0.086762858	fac5	1
v000290	-0.144751509	-0.037877858	-0.242193627	0.8281472828	0.302009844	0.0688136723	fac5	1
v000296	0.174927429	-0.071568866	0.1381724267	0.7477576575	0.0789421324	0.1072295962		
v000297	-0.089528648	0.8494415196	-0.171261313	-0.144423736	-0.134935469	-0.02820332		
v000304	-0.062634869	0.6738657332	-0.139924247	-0.124173727	0.145579786	0.2867538481		
v000305	-0.199134938	-0.207815444	-0.122572477	-0.140271146	-0.549115459	-0.301808118	fac6	1
v000306	0.1110229999	0.6416833821	0.3295573478	0.0660355838	-0.109441835	0.1303446773	fac3	1
v000307	0.0630937216	0.0677080108	0.5385711128	0.0447687182	-0.017286118	0.3280270548	fac6	1
v000309	0.0603412537	0.1945529253	0.1429716336	0.6860483016	0.0401051432	0.2826596618		
v000315	-0.232350842	-0.180544665	-0.300792433	-0.233706072	0.5125716671	-0.233658857	fac3	1
v000322	-0.159316367	0.7360685853	-0.0730936	-0.205367241	-0.179750991	0.1906606665		
v000323	-0.057385572	0.455711544	0.3479963852	-0.360836446	-0.271799144	0.1478129345	fac4	1
v000324	0.1310669222	0.6135430729	0.0788023692	0.1353135343	-0.264490359	0.1405369758		
v000325	0.0464550758	0.5001375323	0.1269000148	0.3737563084	0.0235930462	0.0220995563	fac4	1
v000328	0.0045826718	-0.057252122	-0.134735529	-0.020592516	0.8838533071	-0.007945896		
v000329	-0.06043281	0.3498518546	-0.174655279	0.0329360526	0.7937691293	-0.115438624	fac2	1
v000332	-0.010160205	-0.092535924	0.7236684336	-0.342940536	-0.339480137	-0.175192598	fac4	1
v000336	1.2033812834	-0.178260359	-0.225844319	-0.156303767	-0.247997682	-0.178898376		
v000338	1.0761587366	0.087185181	-0.186280507	-0.141361793	0.0863307724	0.1303107313		
v000344	-0.314726392	-0.334784124	-0.120661823	-0.298895743	0.2391453187	-0.249304607	fac1	1
v000346	0.0745444237	-0.194372171	0.0823822081	0.087439315	-0.138640892	0.3022618781		
v000351	-0.119387092	-0.056879082	0.14527916	-0.189352079	0.7124470673	-0.089290948		
v000352	-0.02920712	-0.180140896	0.3546092062	-0.052994805	0.5172016044	0.2234424983	fac3	1
v000355	-0.071830555	-0.213466337	0.1582017375	-0.100135037	-0.410559574	-0.037044484		
v000359	0.4176542242	0.0600249616	0.5084227496	0.0124916687	0.0269648433	0.0720794552	fac1	1
v000363	-0.154769176	0.0988990273	-0.19841348	-0.078316862	-0.506248058	-0.164453443		
v000368	-0.221642601	-0.215048429	-0.286442043	-0.197238966	-0.272714541	0.6227081205		
v000378	-0.029396578	0.3321333536	-0.179912495	-0.063286361	0.2549179155	0.2866290353		
v000384	0.6408625686	0.0863475499	-0.368633922	-0.162111765	0.757578884	-0.257832159	fac1	1
v000390	0.0833232836	-0.263934051	0.4671787033	-0.176990067	0.1388140216	0.1835689774		
v000394	0.4114292913	-0.487971458	0.2946279877	0.1313366134	-0.022711437	0.0624359618	fac1	1
v000397	-0.045215332	-0.02711926	0.2461229513	0.4555479681	0.1264998614	0.3221000575	fac6	1
v000401	0.2392471647	-0.549460377	0.8974276592	0.0325776305	-0.078528853	0.3711812582	fac2	1
v000407	-0.172788511	1.0199150457	-0.079981625	-0.225862374	-0.271579101	-0.046011659		
v000408	0.9842761605	0.0504670436	0.2369619701	-0.217356013	0.122185546	-0.074522196		
v000410	-0.19298665	-0.122782233	-0.277127822	-0.234207864	-0.225006802	0.1652252776		
v000412	0.2579907402	-0.093085311	0.1857652381	0.1266550953	-0.053997938	0.1521927706		
v000414	0.968809691	-0.179355513	-0.072652132	-0.035931752	0.1166221683	0.1959283067		
v000420	0.0826257368	-0.104106395	-0.03164563	-0.06745453	-0.169635933	0.018815812		
v000421	0.0646558434	0.4384725264	0.3065594686	-0.060589616	0.0205772398	0.1811085313	fac3	1
v000422	0.0588677055	-0.263765605	0.4905182013	0.2987191878	0.3206502597	0.1299363083	fac5	1
v000424	1.0354906755	-0.384955297	-0.328190309	-0.179935644	-0.305851584	-0.350286282	fac2	1
v000425	-0.242972132	-0.059645338	1.1919323349	-0.356508913	-0.099955344	-0.266846586	fac4	1
v000426	-0.354738776	-0.290430321	0.5597132416	-0.314598519	0.4984868911	-0.248209892	fac5	1
v000431	-0.27619076	-0.166501295	-0.129145523	0.0219884236	-0.145186812	0.8747726883		
v000436	-0.09912218	0.1220131006	-0.148771944	0.2086765153	0.4879434426	-0.028069228		
v000438	0.2923222747	-0.245105558	0.7739236264	0.0160363759	-0.029259365	0.2499892165		
v000440	-0.089852965	-0.101946992	1.0615613838	-0.398087871	0.1082320806	0.0041695279	fac4	1
v000443	-0.178020015	0.1449296663	-0.049107937	-0.252934286	-0.279109485	-0.138660317		
v000447	-0.213218132	-0.124337553	0.0894867648	-0.080977796	-0.235581867	-0.015929719		
v000451	0.1074157295	0.4815237133	0.0744492413	0.2042449239	0.2078608915	0.014750475		
v000452	-0.063242834	0.0787778505	0.123286624	0.0751560912	0.5850715816	-0.331026105	fac6	1
v000460	-0.248719401	0.8142695781	0.2281206568	-0.359561209	-0.104554941	-0.090379866	fac4	1
v000467	0.196078764	0.3726293571	-0.206259617	0.2929144539	0.5131161657	-0.185810303	fac2	1
v000472	1.0065725168	-0.282296303	-0.174155559	-0.058208102	-0.015003395	-0.059382552		
v000475	-0.316182799	-0.270821447	0.0120726415	0.1595188769	-0.337971985	-0.32770623	fac6	1
v000476	-0.222685959	0.185672022	-0.046974356	0.3193319547	0.5715103301	-0.031371789	fac4	1
v000478	0.9490002271	-0.093330975	0.2051818511	0.1151680843	-0.029892569	-0.206764775		
v000491	-0.260072481	-0.2648645	-0.482038179	-0.135221686	0.4931643391	-0.082735956	fac3	1
v000500	-0.200429792	0.3067602779	-0.15310109	0.5184070361	0.6462523258	-0.144903315	fac4	1
v000514	0.1908741196	-0.118815495	-0.057304306	-0.030642934	0.8220269306	0.0222324747		
v000515	-0.143649194	-0.151703906	-0.111183812	-0.078289743	1.0613070037	-0.101344308		
v000520	-0.034451687	0.2657375185	-0.088575915	-0.274732503	0.2696469429	0.8891112253		
v000523	0.0011164932	-0.203880583	-0.022477253	-0.095373368	0.3491543144	0.4471006684	fac5	1
v000531	-0.002557373	0.2421909813	-0.280676992	-0.149381463	-0.067014043	1.1394527498		
v000532	0.6152236074	0.7566475517	0.0741168651	-0.176849389	-0.100317625	-0.013972962	fac1	1
v000534	-0.01100408	0.6526254051	-0.024366029	0.0090549084	0.0794664086	-0.108623345		
v000535	-0.086769104	0.6833298501	-0.150577235	-0.218959688	-0.167489266	0.2784441481		
v000536	-0.036189601	-0.167591976	1.1597992101	-0.19835017	0.001994698	-0.11067621		
v000538	-0.153948681	0.3210757688	0.7204919219	-0.120570218	-0.026603062	-0.368328898	fac6	1
v000539	-0.23397298	0.024636226	1.1183763295	-0.314390955	-0.069540644	-0.151403606	fac4	1
v000544	-0.224019218	-0.215752208	-0.042468157	0.0316742357	-0.076706282	-0.20062179		
v000545	-0.249352898	-0.177025335	-0.18084373	1.0431232748	-0.165051632	-0.150039211		
v000550	1.063687397	-0.417334013	-0.301436835	-0.205275128	-0.160742188	-0.315546512	fac2	1
v000552	0.1808200887	-0.219871169	0.331041825	0.1202659259	0.0703240758	0.1267794545		
v000553	-0.079885129	-0.145681444	-0.291109311	1.02000198	-0.160592101	-0.104164525		
v000558	-0.117050492	-0.375161176	0.2331563985	-0.087060862	0.1719707657	0.6974944936	fac2	1
v000561	-0.369624258	-0.399641031	-0.395941035	-0.188454564	-0.39851179	0.3005838413	fac5	1
v000562	0.1086031531	-0.282312607	-0.027843688	-0.223197417	-0.261967105	-0.174031845		
v000565	-0.183405598	0.250184345	-0.175415979	-0.154987359	-0.384716263	-0.366769645	fac6	1
v000570	-0.139265195	-0.183523218	-0.179767426	-0.126228689	-0.236142169	-0.184085777		
v000575	-0.20946241	0.0445023203	-0.097667655	-0.010918337	-0.552498148	-0.233539063		
v000578	0.0688076662	0.1491745536	0.4808728725	-0.335580389	-0.325402087	-0.036958665	fac4	1
v000580	-0.29775314	-0.14962054	-0.223638535	-0.133484501	0.8985927763	-0.067511372		
v000583	-0.06069467	0.3422857683	-0.220426035	0.0974749801	0.2342275905	0.5176212102	fac2	1
v000585	-0.007226801	-0.25771607	0.5170939589	0.0159557063	0.0931447857	0.3290965697	fac6	1
v000586	-0.215940355	-0.190761841	-0.226096974	-0.029483164	-0.277543625	-0.182160613		
