Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
a a
Avaliação avaliação
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
– -
FORMAÇÃO formação
GERAL geral
: :
As o
questões questão
de de
Formação formação
Geral geral
contemplam contemplar
temas tema
da de_o
atualidade atualidade
e e
avaliam avaliar
aspectos aspecto
gerais geral
da de_o
Língua língua
Portuguesa portuguesa
como como
clareza clareza
, ,
oerência oerência
, ,
coesão coesão
, ,
norma norma
culta culto
e e
interpretação interpretação
de de
textos texto
. .
Em em
relação relação
aos a_o
temas tema
das de_o
questões questão
, ,
entendemos entender
que que
eles eles
não não
são ser
contemplados contemplar
na em_o
matriz matriz
curricular curricular
do de_o
curso curso
, ,
sem sem
relação relação
direta direto
com com
o o
conteúdo conteúdo
específico específico
do de_o
comércio comércio
exterior exterior
e e
sem sem
relação relação
com com
o o
perfil perfil
profissional profissional
do de_o
egresso egresso
do de_o
curso curso
conforme conforme
o o
PPC ppc
. .
Assim assim
sendo ser
, ,
acreditamos acreditar
ser ser
importante importante
ampliar ampliar
o o
conhecimento conhecimento
dos de_o
alunos aluno
com com
os o
temas tema
apresentados apresentar
promovendo promover
a o
interdisciplinaridade interdisciplinaridade
. .
