Aumentar aumentar
a o
empregabilidade empregabilidade
dos de_o
alunos aluno
formados formar
em em
Automação automação
Industrial industrial
em em
5 5
% %
em em
2023 @card@
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Obter obter
a o
satisfação satisfação
dos de_o
públicos público
que que
se se
relacionam relacionar
com com
o o
Centro centro
Paula paula
Souza souza
( (
stakeholders stakeholders
) )
; ;
Assegurar assegurar
a o
perenidade perenidade
do de_o
crescimento crescimento
da de_o
instituição instituição
com com
recursos recurso
financeiros financeiro
disponíveis disponível
; ;
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Promover promover
ações ação
administrativas administrativo
e e
pedagógicas pedagógico
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
com com
relação relação
ao a_o
indicador indicador
de de
desempenho desempenho
de de
2022 @card@
, ,
no em_o
ano ano
de de
2023 @card@
. .
