Cabe caber
lembrar lembrar
que que
os o
documentos documento
produzidos produzir
pela por_o
CPA cpa
, ,
visam visar
ser ser
instrumentos instrumento
de de
consultas consulta
na em_o
construção construção
de de
outros outro
mecanismos mecanismo
institucionais institucional
como como
PDI pdi
, ,
PPI ppi
e e
regulamentos regulamento
que que
nortearão nortear
as o
atividades atividade
da de_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
– -
Antonio antonio
Russo russo
nos em_o
anos ano
vindouros vindouro
especificamente especificamente
no em_o
pós pós
pandemia pandemia
. .
