Segundo segundo
informações informação
do de_o
Infocidade infocidade
, ,
plataforma plataforma
de de
consulta consulta
de de
dados dado
disponibilizada disponibilizada
pela por_o
Secretaria secretaria
Municipal municipal
de de
Urbanismo urbanismo
e e
Licenciamento licenciamento
( (
SMUL smul
) )
da de_o
Prefeitura prefeitura
de de
São são
Paulo paulo
( (
2018 @card@
) )
, ,
a o
Subprefeitura subprefeitura
do de_o
Ipiranga ipiranga
apresentava apresentar
, ,
em em
2017 @card@
, ,
uma um
população população
estimada estimar
em em
476 @card@
. .
271 271
pessoas pessoa
, ,
cerca cerca
de de
4 4
, ,
1 1
% %
da de_o
população população
da de_o
capital capital
. .
No em_o
distrito distrito
do de_o
Sacomã sacomã
, ,
o o
mais mais
populoso populoso
da de_o
Subprefeitura subprefeitura
, ,
com com
aproximadamente aproximadamente
53 53
, ,
6 6
% %
do de_o
total total
, ,
está estar
localizado localizar
o o
bairro bairro
derivado derivar
da de_o
comunidade comunidade
de de
Heliópolis heliópolis
( (
chamado chamar
Cidade cidade
Nova nova
Heliópolis heliópolis
) )
, ,
maior grande
comunidade comunidade
da de_o
cidade cidade
de de
São são
Paulo paulo
. .
