IMPLANTAR implantar
O o
CURSO curso
DE de
EXTENSÃO extensão
ENGLISH english
FOR for
TOEFL toefl
. .
O o
que que
será ser
feito fazer
: :
Oferecimento oferecimento
de de
um um
curso curso
em em
Língua língua
Inglesa inglês
com com
a o
finalidade finalidade
de de
preparar preparar
alunos aluno
e e
egressos egresso
para para
a o
realização realização
do de_o
TOEFL toefl
– -
Test test
of of
English english
as o
a a
Foreign foreign
Language language
. .
Por por
que que
será ser
feito fazer
: :
Apesar apesar
do de_o
discente discente
da de_o
Fatec fatec
Praia praia
Grande grande
ter ter
em em
sua seu
grade grade
curricular curricular
a o
disciplina disciplina
de de
língua língua
inglesa inglês
, ,
não não
é ser
objetivo objetivo
dessas de_esse
aulas aula
o o
preparo preparo
para para
exames exame
internacionais internacional
. .
Portanto portanto
, ,
faz fazer
-se se
necessário necessário
que que
um um
curso curso
seja ser
oferecido oferecer
para para
preparar preparar
aqueles aquele
estudantes estudante
ou ou
egressos egresso
que que
desejam desejar
prestar prestar
o o
TOEFL toefl
e e
ingressar ingressar
em em
programas programa
de de
pós-graduação pós-graduação
no em_o
exterior exterior
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
e e
ampliar ampliar
a o
oferta oferta
de de
educação educação
profissional profissional
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Reduzir reduzir
em em
10 10
% %
a o
evasão evasão
escolar escolar
e e
aumentar aumentar
a o
empregabilidade empregabilidade
dos de_o
alunos aluno
em em
10 10
% %
. .
Aumentar aumentar
em em
20 20
% %
a o
demanda demanda
candidato-vaga candidato-vaga
dos de_o
cursos curso
da de_o
unidade unidade
. .
