Condições condição
de de
acesso acesso
para para
portadores portador
de de
necessidades necessidade
especiais especial
A o
acessibilidade acessibilidade
interna interno
respeita respeitar
normas norma
e e
padrões padrão
internacionais internacional
que que
garantem garantir
o o
direito direito
aos a_o
portadores portador
de de
necessidades necessidade
especiais especial
de de
circularem circular
pela por_o
IES ies
. .
Observa observar
-se se
a o
existência existência
de de
facilidades facilidade
para para
acesso acesso
de de
pessoas pessoa
portadoras portador
de de
necessidades necessidade
especiais especial
, ,
tais tal
como como
: :
vaga vaga
preferencial preferencial
em em
estacionamento estacionamento
; ;
elevador elevador
que que
possibilita possibilitar
o o
deslocamento deslocamento
entre entre
pisos piso
; ;
rampas rampa
que que
facilitam facilitar
o o
deslocamento deslocamento
de de
alunos aluno
, ,
colaboradores colaborador
e e
professores professor
, ,
portadores portador
de de
necessidades necessidade
especiais especial
, ,
pelas por_o
dependências dependência
da de_o
IES ies
, ,
banheiros banheiro
, ,
tanto tanto
masculinos masculino
como como
femininos feminino
, ,
planejados planejar
para para
o o
recebimento recebimento
de de
cadeirantes cadeirante
, ,
entre entre
outras outro
necessidades necessidade
; ;
fácil fácil
acesso acesso
às a_o
salas sala
de de
aula aula
, ,
biblioteca biblioteca
, ,
salas sala
de de
informática informática
, ,
laboratórios laboratório
, ,
áreas área
de de
convivência convivência
e e
Coordenações coordenação
de de
Cursos curso
. .
Contemplando contemplar
a a
contento contento
todas todo
as o
exigências exigência
estabelecidas estabelecido
pelo por_o
Ministério ministério
da de_o
Educação educação
, ,
relativas relativo
ao a_o
acesso acesso
de de
portadores portador
de de
necessidades necessidade
especiais especial
. .
A o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
dispõe dispor
de de
recursos recurso
audiovisuais audiovisual
, ,
tais tal
como como
: :
projetores projetor
, ,
televisores televisor
, ,
aparelhos aparelho
de de
som som
, ,
atendendo atender
aos a_o
parâmetros parâmetro
exigidos exigir
pelo por_o
Ministério ministério
da de_o
Educação educação
e e
Cultura cultura
. .
