APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
Prédio prédio
da de_o
unidade unidade
com com
problemas problema
estruturais estrutural
. .
Estrutura estrutura
de de
monitoramento monitoramento
insuficientes insuficiente
de de
câmeras câmera
internas interno
. .
Refrigeração refrigeração
inadequada inadequado
das de_o
salas sala
de de
aula aula
, ,
laboratórios laboratório
e e
ambientes ambiente
internos interno
. .
Ausência ausência
de de
Convênio convênio
de de
Cooperação cooperação
com com
a o
Prefeitura prefeitura
de de
Praia praia
Grande grande
. .
Problemas problema
estruturais estrutural
e e
elétricos elétrico
nos em_o
laboratórios laboratório
de de
química química
. .
Desconhecimento desconhecimento
do de_o
público público
externo externo
sobre sobre
os o
cursos curso
da de_o
instituição instituição
. .
Estrutura estrutura
de de
segurança segurança
insuficiente insuficiente
para para
prevenção prevenção
de de
acidentes acidente
. .
Evasão evasão
escolar escolar
. .
