Elaboração elaboração
do de_o
evento evento
temático temático
anual anual
do de_o
Curso curso
Superior superior
em em
Tecnologia tecnologia
em em
Segurança segurança
da de_o
Informação informação
conhecido conhecido
por por
FATEC fatec
SecurityDay securityday
. .
O o
que que
será ser
feito fazer
: :
Preparação preparação
de de
um um
evento evento
com com
palestras palestra
e e
demonstrações demonstração
práticas prático
das de_o
ações ação
e e
ferramentas ferramenta
ligadas ligar
à a_o
Segurança segurança
Cibernética cibernético
Por por
que que
será ser
feito fazer
: :
Nossos nosso
estudantes estudante
devem dever
ser ser
apresentados apresentar
ao a_o
mercado mercado
formal formal
da de_o
área área
de de
Segurança segurança
Cibernética cibernético
por por
meio meio
de de
eventos evento
que que
trazem trazer
profissionais profissional
e e
empresas empresa
da de_o
área área
, ,
desenvolvendo desenvolver
um um
contato contato
próximo próximo
a a
eles eles
. .
Aumentar aumentar
a o
eficiência eficiência
, ,
a o
produtividade produtividade
e e
a o
competitividade competitividade
da de_o
instituição instituição
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
. .
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Ampliar ampliar
as o
inscrições inscrição
para para
o o
vestibular vestibular
em em
5 5
% %
no em_o
ano ano
de de
2023 @card@
. .
Promover promover
ações ação
pedagógicas pedagógico
e e
administrativas administrativo
que que
proporcionem proporcionar
a o
redução redução
da de_o
taxa taxa
de de
evasão evasão
em em
5 5
% %
