Apesar apesar
disso de_isso
, ,
estudos estudo
do de_o
Observatório observatório
Econômico econômico
e e
do de_o
Trabalho trabalho
de de
Diadema diadema
( (
2021 @card@
) )
, ,
mostram mostrar
a o
recuperação recuperação
da de_o
economia economia
e e
dos de_o
empregos emprego
formais formal
, ,
o o
Grande grande
ABC abc
tem ter
saldo saldo
positivo positivo
de de
7 7
. .
044 @card@
empregos emprego
formais formal
em em
2021 @card@
. .
A o
indústria indústria
fecha fechar
o o
1º 1º
bimestre bimestre
de de
2021 @card@
com com
saldo saldo
de de
2 2
. .
926 @card@
novos novo
postos posto
de de
trabalho trabalho
. .
A o
Tabela tabela
3 3
destaca destacar
o o
cenário cenário
dos de_o
empregos emprego
formais formal
do de_o
Grande grande
ABC abc
no em_o
primeiro primeiro
bimestre bimestre
de de
2021 @card@
. .
Vemos ver
que que
o o
setor setor
com com
menor pequeno
crescimento crescimento
no em_o
primeiro primeiro
bimestre bimestre
foi ser
o o
Comércio comércio
, ,
com com
um um
saldo saldo
de de
apenas apenas
156 156
novos novo
postos posto
de de
trabalho trabalho
no em_o
período período
. .
