Vamos ir
ampliar ampliar
a o
divulgação divulgação
das de_o
atuações atuação
/ /
responsabilidades responsabilidade
dos de_o
colegiados colegiado
da de_o
unidade unidade
e e
do de_o
curso curso
, ,
pois pois
os o
indicadores indicador
do de_o
eixo eixo
4 4
não não
foram ser
muito muito
adequados adequar
. .
Proposta proposta
de de
Conscientização conscientização
da de_o
Comunidade comunidade
para para
a o
CPA cpa
Número número
limitado limitar
de de
sala sala
de de
aulas aula
e e
laboratórios laboratório
. .
Organizar organizar
Laboratório laboratório
de de
Manufatura manufatura
Integrada integrar
Necessário necessário
a o
construção construção
da de_o
nossa nosso
nova novo
sede sede
em em
terreno terreno
já já
doado doar
pela por_o
prefeitura prefeitura
ao a_o
CPS cps
Os o
alunos aluno
visualizam visualizar
a o
faculdade faculdade
como como
um um
local local
agradável agradável
e e
de de
bom bom
convívio convívio
, ,
reforçado reforçar
pelos por_o
indicadores indicador
que que
atestam atestar
a o
qualidade qualidade
dos de_o
espaços espaço
de de
sala sala
de de
aula aula
e e
laboratoriais laboratorial
. .
Aumentar aumentar
a o
divulgação divulgação
com com
exposições exposição
e e
reuniões reunião
específicas específico
com com
docentes docente
e e
discentes discente
A o
comunidade comunidade
conhece conhecer
a o
missão missão
e e
o o
PDI pdi
da de_o
instituição instituição
Continuar continuar
com com
o o
engajamento engajamento
e e
apresentação apresentação
das de_o
metas meta
e e
resultados resultado
Reconhece reconhecer
as o
ações ação
extensionistas extensionista
Aumentar aumentar
a o
participação participação
dos de_o
alunos aluno
e e
professores professor
com com
a o
curricularização curricularização
da de_o
extensão extensão
Comunicação comunicação
com com
a o
comunidade comunidade
externa externo
via via
mídias mídia
digitais digital
Canal canal
FATEC fatec
Santo santo
André andré
YouTube youtube
Alta alta
taxa taxa
de de
concordância concordância
sobre sobre
os o
tópicos tópico
abordados abordar
no em_o
eixo eixo
Ampliar ampliar
as o
divulgações divulgação
e e
ações ação
que que
demonstrem demonstrar
o o
engajamento engajamento
de de
Melhoria melhoria
na em_o
Divulgação divulgação
dos de_o
Recursos recursos
de de
Acessibilidade acessibilidade
