Por por
volta volta
de de
50 50
% %
da de_o
comunidade comunidade
acadêmica acadêmico
relata relatar
não não
conhecer conhecer
o o
uso uso
dos de_o
indicadores indicador
para para
o o
planejamento planejamento
institucional institucional
, ,
necessitando necessitar
de de
um um
reforço reforço
de de
ações ação
de de
esclarecimento esclarecimento
durante durante
o o
próximo próximo
período período
de de
sensibilização sensibilização
. .
Quase quase
50 50
% %
dos de_o
alunos aluno
reportam reportar
não não
conhecer conhecer
o o
Regimento regimento
das de_o
Fatecs fatecs
, ,
necessitando necessitar
ações ação
de de
esclarecimento esclarecimento
. .
