Ações ação
de de
nivelamento nivelamento
de de
conhecimento conhecimento
, ,
ENADE enade
, ,
acolhimento acolhimento
e e
permanência permanência
discente discente
. .
Elaboração elaboração
, ,
implantação implantação
e e
acompanhamento acompanhamento
de de
projetos projeto
interdisciplinares interdisciplinar
nos em_o
cursos curso
de de
Automação automação
Industrial industrial
e e
Informática informática
para para
Negócios negócios
. .
Por por
que que
será ser
feito fazer
: :
Os o
projetos projeto
terão ter
o o
objetivo objetivo
de de
engajamento engajamento
dos de_o
alunos aluno
no em_o
curso curso
visando visar
melhor bom
aproveitamento aproveitamento
acadêmico acadêmico
e e
a o
redução redução
da de_o
evasão evasão
escolar escolar
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
