Desenvolvimento desenvolvimento
de de
um um
caminhão caminhão
autônomo autônomo
nível nível
SAE-3 sae-3
para para
colheita colheita
de de
cana cana
de de
açúcar açúcar
Projeto projeto
de de
Pesquisa pesquisa
aplicada aplicado
financiada financiar
pela por_o
FUNDEP fundep
e e
em em
parceria parceria
com com
a o
UFABC ufabc
, ,
POLI-USP poli-usp
, ,
Mercedes mercedes
Benz benz
, ,
Bosch bosch
e e
Grunner grunner
