Ações ação
pedagógicas pedagógico
: :
visitas visita
técnicas técnico
, ,
projetos projeto
integradores integrador
/ /
interdisciplinares interdisciplinar
, ,
dias dia
de de
campo campo
, ,
feira feira
das de_o
profissões profissão
, ,
cursos curso
extracurriculares extracurricular
para para
alunos aluno
. .
O o
que que
será ser
feito fazer
: :
1 1
) )
Abertura abertura
de de
edital edital
para para
estagiários estagiário
– -
publicação publicação
do de_o
edital edital
2 2
) )
Seleção seleção
e e
reunião reunião
com com
estagiários estagiário
3 3
) )
Elaboração elaboração
de de
cronograma cronograma
– -
material material
de de
divulgação divulgação
e e
datas data
das de_o
postagens postagem
. .
4 4
) )
Coordenação coordenação
do de_o
projeto projeto
Por por
que que
será ser
feito fazer
: :
Para para
fornecer fornecer
conteúdos conteúdo
atualizados atualizar
sobre sobre
eventos evento
, ,
testes teste
internacionais internacional
, ,
bolsas bolsa
de de
estudo estudo
, ,
oportunidades oportunidade
de de
trabalho trabalho
no em_o
exterior exterior
, ,
notícias notícia
; ;
assim assim
como como
divulgar divulgar
o o
vestibular vestibular
da de_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
Situação situação
problema problema
: :
Comunicação comunicação
com com
a o
comunidade comunidade
acadêmica acadêmico
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
