Sob sob
ponto ponto
de de
vista vista
da de_o
Gestão gestão
Pedagógica pedagógico
da de_o
Regional regional
6 6
, ,
em em
análise análise
a a
partir partir
do de_o
relatório relatório
entregue entregar
pela por_o
Coordenação coordenação
de de
Curso curso
e e
tamb´me tamb´me
pelo por_o
estudo estudo
particular particular
dos de_o
documentos documento
disponibilizados disponibilizados
pela por_o
CESU cesu
e e
Inep inep
, ,
avalio avalio
que que
: :
I i
– -
Consideração consideração
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
I i
. .
I i
-Formação -formação
Geral geral
: :
Percebo perceber
que que
o o
maior grande
destaque destaque
em em
termos termos
de de
dificuldades dificuldade
enfrentadas enfrentar
pelos por_o
alunos aluno
são ser
a o
interpretação interpretação
de de
textos texto
e e
análise análise
dos de_o
infográficos infográfico
e e
/ /
ou ou
figuras figura
. .
I i
. .
II ii
- -
Formação formação
Específica específico
: :
Entendo entender
que que
é ser
preciso preciso
refletir refletir
sobre sobre
os o
conteúdos conteúdo
que que
estão estar
sendo ser
ministrados ministrar
em em
sala sala
de de
aula aula
e e
que que
compõem compor
a o
matriz matriz
curricular curricular
do de_o
Curso curso
de de
Comércio comércio
Exterior exterior
da de_o
UE ue
e e
os o
conteúdos conteúdo
discutidos discutir
nessa em_esse
avaliação avaliação
, ,
pois pois
existem existir
" "
discussões discussão
" "
da de_o
prova prova
que que
são ser
trabalhados trabalhar
em em
menor pequeno
detalhamento detalhamento
na em_o
grade grade
atual atual
para para
que que
esta este
contemple contemplar
discussões discussão
que que
a o
Coordenação coordenação
, ,
o o
Colegiado colegiado
e e
NDE nde
do de_o
curso curso
acreditam acreditar
ser ser
igualmente igualmente
importantes importante
para para
formação formação
profissional profissional
. .
