Desta de_este
forma forma
nota nota
-se se
que que
para para
o o
CST cst
em em
Logística logístico
em em
questão questão
na em_o
unidade unidade
Fatec fatec
Zona zona
Sul sul
, ,
as o
ações ação
a a
serem ser
executadas executar
passam passar
desde desde
uma um
atualização atualização
( (
ou ou
reestruturação reestruturação
) )
curricular curricular
do de_o
curso curso
em em
questão questão
até até
o o
maior grande
envolvimento envolvimento
do de_o
corpo corpo
docente docente
no em_o
planejamento planejamento
e e
preparação preparação
preventiva preventivo
dos de_o
alunos aluno
para para
prova prova
. .
Sendo ser
assim assim
, ,
as o
ações ação
propostas propor
pela por_o
coordenação coordenação
e e
por por
toda todo
comunidade comunidade
acadêmica acadêmico
envolvida envolver
no em_o
referido referir
curso curso
são ser
plausíveis plausível
e e
adequadas adequado
para para
gestão gestão
e e
implementação implementação
. .
