Enquanto enquanto
o o
PIB pib
do de_o
Grande grande
ABC abc
totaliza totalizar
R$ r$
128 128
, ,
4 4
bilhões bilhão
, ,
o o
PIB pib
industrial industrial
da de_o
região região
soma somar
R$ r$
30 30
, ,
6 6
bilhões bilhão
, ,
cujo cujo
valor valor
da de_o
transformação transformação
industrial industrial
está estar
distribuído distribuir
, ,
majoritariamente majoritariamente
, ,
nos em_o
seguintes seguinte
setores setor
de de
atividade atividade
econômica econômico
: :
Veículos veículo
Automotores automotor
, ,
Reboques reboque
e e
Carrocerias carroceria
; ;
Borracha borracha
e e
Material material
Plástico plástico
; ;
Produtos produtos
Químicos químico
; ;
Produtos produtos
de de
Metal metal
; ;
Metalurgia metalurgia
; ;
e e
Produtos produtos
Alimentícios alimentício
( (
FUNDAÇÃO fundação
SEADE seade
, ,
2023 @card@
) )
. .
A o
Fatec fatec
Antonio antonio
Russo russo
está estar
sediada sediar
em em
São são
Caetano caetano
do de_o
Sul sul
, ,
cidade cidade
localizada localizar
na em_o
região região
do de_o
ABC abc
Paulista paulista
, ,
onde onde
faz fazer
divisa divisa
com com
os o
municípios município
de de
Santo santo
André andré
, ,
São são
Bernardo bernardo
do de_o
Campo campo
e e
São são
Paulo paulo
. .
Plano plano
de de
Desenvolvimento desenvolvimento
Institucional institucional
– -
PDI pdi
2022-2026 @card@
