Divulgação divulgação
do de_o
vestibular vestibular
e e
ações ação
de de
fortalecimento fortalecimento
de de
imagem imagem
institucional institucional
O o
que que
será ser
feito fazer
: :
Aulas aula
de de
redação redação
e e
língua língua
portuguesa português
preparatório preparatório
para para
o o
vestibular vestibular
Por por
que que
será ser
feito fazer
: :
Para para
melhorar melhorar
a o
visibilidade visibilidade
do de_o
curso curso
dos de_o
cursos curso
da de_o
Fatec fatec
Diadema diademar
para para
a o
comunidade comunidade
local local
e e
estudantes estudante
Situação situação
problema problema
: :
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Situação situação
problema problema
: :
Segurança segurança
pessoal pessoal
e e
patrimonial patrimonial
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
