APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
- -
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
- -
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
- -
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
- -
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
- -
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
- -
Comunicação comunicação
com com
a o
comunidade comunidade
acadêmica acadêmico
