COIL coil
/ /
PCI pci
e e
Escola escola
de de
Inovadores inovador
O o
que que
será ser
feito fazer
: :
Este este
projeto projeto
tem ter
como como
objetivo objetivo
a o
parceria parceria
com com
Fatecs fatecs
e e
de de
suas seu
respectivas respectivo
coordenações coordenação
do de_o
Núcleo núcleo
de de
Relações relações
Internacionais internacionais
com com
a o
finalidade finalidade
de de
proporcionar proporcionar
aos a_o
alunos aluno
do de_o
CST cst
de de
Logística logístico
e e
Informática informática
para para
Negócios negócios
um um
maior grande
acesso acesso
às a_o
informações informação
relativas relativo
a a
intercambio intercambio
e e
possibilidades possibilidade
de de
estudos estudo
no em_o
exterior exterior
. .
Por por
que que
será ser
feito fazer
: :
A o
língua língua
inglesa inglês
sempre sempre
foi ser
um um
diferencial diferencial
nos em_o
cursos curso
de de
Tecnologia tecnologia
das de_o
Fatecs fatecs
, ,
visando visar
proporcionar proporcionar
uma um
maior grande
empregabilidade empregabilidade
nas em_o
empresas empresa
e e
indústrias indústria
4 4
. .
0 0
da de_o
região região
de de
São são
Paulo paulo
e e
do de_o
ABCDM abcdm
. .
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
