Adequação adequação
/ /
reestruturação reestruturação
de de
PPC ppc
, ,
implantação implantação
de de
novos novo
cursos curso
. .
O o
que que
será ser
feito fazer
: :
Estruturação estruturação
de de
proposta proposta
para para
atualização atualização
do de_o
PPC ppc
de de
Mecatrônica mecatrônica
Industrial industrial
mediante mediante
a o
análise análise
dos de_o
conteúdos conteúdo
programáticos programático
das de_o
componentes componente
curriculares curricular
do de_o
curso curso
e e
construção construção
da de_o
nova novo
grade grade
curricular curricular
segundo segundo
as o
exigências exigência
mercadológicas mercadológico
. .
Por por
que que
será ser
feito fazer
: :
Para para
atualização atualização
do de_o
PPC ppc
em em
virtude virtude
do de_o
avanço avanço
tecnológico tecnológico
na em_o
área área
e e
da de_o
crescente crescente
demanda demanda
por por
profissionais profissional
formados formar
com com
o o
perfil perfil
do de_o
egresso egresso
do de_o
curso curso
. .
situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
