APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
1 1
Manutenção manutenção
e e
conservação conservação
predial predial
2 2
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
3 3
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
4 4
Segurança segurança
pessoal pessoal
e e
patrimonial patrimonial
5 5
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
6 6
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
7 7
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
8 8
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
9 9
Redução redução
do de_o
número número
de de
inscrições inscrição
no em_o
Vestibular vestibular
Matutino matutino
. .
