Infraestrutura infraestrutura
Em em
maio maio
de de
2023 @card@
foi ser
concluída concluir
a o
obra obra
de de
impermeabilização impermeabilização
da de_o
laje laje
do de_o
prédio prédio
, ,
reforma reforma
do de_o
auditório auditório
e e
troca troca
de de
pisos piso
em em
03 @card@
salas sala
de de
aula aula
, ,
conforme conforme
Ata ata
de de
Manutenção manutenção
iniciada iniciar
em em
dezembro dezembro
de de
2022 @card@
. .
Ao a_o
longo longo
de de
2023 @card@
, ,
novos novo
vazamentos vazamento
nas em_o
lajes laje
de de
vido vidar
às a_o
fortes forte
chuvas chuva
foram ser
identificadas identificar
e e
informadas informar
à a_o
Coordenação coordenação
da de_o
UIE uie
. .
A o
manutenção manutenção
foi ser
feita fazer
, ,
contudo contudo
, ,
ainda ainda
existem existir
muitos muito
problemas problema
estruturais estrutural
no em_o
prédio prédio
da de_o
unidade unidade
. .
