F f
– -
Modernizar modernizar
a o
Biblioteca biblioteca
com com
livros livro
para para
os o
cursos curso
de de
GPI gpi
e e
DSM dsm
O o
que que
será ser
feito fazer
: :
Solicitação solicitação
de de
bibliografia bibliografia
básica básico
à a_o
CESU cesu
Por por
que que
será ser
feito fazer
: :
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
e e
alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
nos em_o
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
e e
alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
nos em_o
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Adquirir adquirir
100 100
% %
da de_o
bibliografia bibliografia
básica básico
dos de_o
cursos curso
de de
GPI gpi
e e
DSM dsm
até até
dezembro dezembro
de de
2023 @card@
atendendo atender
as o
demandas demanda
dos de_o
alunos aluno
e e
do de_o
CEE cee
