Ações ação
de de
nivelamento nivelamento
de de
conhecimento conhecimento
, ,
ENADE enade
, ,
acolhimento acolhimento
e e
permanência permanência
discente discente
. .
O o
que que
será ser
feito fazer
: :
Oferecimento oferecimento
de de
aulas aula
de de
reforço reforço
de de
matemática matemática
. .
Por por
que que
será ser
feito fazer
: :
Para para
melhorar melhorar
os o
processos processo
de de
aprendizagem aprendizagem
e e
reduzir reduzir
a o
taxa taxa
de de
evasão evasão
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
