Outro outro
fator fator
preocupante preocupante
é ser
o o
alto alto
índice índice
de de
evasão evasão
nos em_o
cursos curso
superiores alto
em em
geral geral
que que
se se
dá dar
, ,
de de
acordo acordo
com com
a o
reportagem reportagem
, ,
porque porque
o o
jovem jovem
não não
consegue conseguir
se se
manter manter
e e
deixa deixar
de de
estudar estudar
para para
trabalhar trabalhar
e e
tem ter
até até
quem quem
desiste desistir
porque porque
não não
se se
identifica identificar
com com
o o
curso curso
. .
Em em
relação relação
a o
demanda demanda
no em_o
vestibular vestibular
, ,
o o
quadro quadro
descrito descrever
na em_o
reportagem reportagem
vem vir
sendo ser
vivido viver
aqui aqui
na em_o
Fatec fatec
Diadema diadema
– -
Luigi luigi
Papaiz papaiz
, ,
principalmente principalmente
pelo por_o
CST cst
em em
Cosméticos cosmético
que que
nos em_o
últimos último
vestibulares vestibular
( (
2022-2 @card@
e e
2023-1 @card@
) )
não não
atingiu atingir
a o
demanda demanda
mínima pequeno
. .
Também também
enfrentamos enfrentar
problemas problema
com com
relação relação
ao a_o
alto alto
índice índice
de de
evasão evasão
. .
