Dentre dentrar
as o
principais principal
ações ação
advindas advir
desse de_esse
processo processo
, ,
podemos poder
salientar salientar
: :
No em_o
Eixo eixo
1 1
: :
Planejamento planejamento
e e
Avaliação avaliação
Institucional institucional
, ,
quando quando
se se
trata tratar
dos de_o
discentes discente
, ,
destacamos destacar
que que
38 38
% %
dos de_o
discentes discente
não não
sabem saber
responder responder
ou ou
não não
sabe saber
informar informar
sobre sobre
o o
tema tema
. .
No em_o
eixo eixo
2 2
também também
destacamos destacar
os o
discentes discente
, ,
32 32
% %
consideram considerar
seu seu
conhecimento conhecimento
e e
cumprimento cumprimento
do de_o
PDI pdi
muito muito
bom bom
ou ou
bom bom
, ,
28 28
% %
não não
sabem saber
responder responder
e e
25 25
% %
consideram considerar
regular regular
. .
