Mostra mostrar
de de
software software
do de_o
curso curso
de de
Análise análise
e e
Desenvolvimento desenvolvimento
de de
Sistemas sistemas
- -
cat cat
1 1
. .
06 @card@
- -
Ações ação
pedagógicas pedagógico
: :
visitas visita
técnicas técnico
, ,
projetos projeto
integradores integrador
/ /
interdisciplinares interdisciplinar
, ,
dias dia
de de
campo campo
, ,
feira feira
das de_o
profissões profissão
, ,
cursos curso
extracurriculares extracurricular
para para
alunos aluno
. .
No em_o
final final
de de
cada cada
semestre semestre
, ,
os o
alunos aluno
apresentam apresentar
seus seu
projetos projeto
de de
softwares software
desenvolvidos desenvolver
durante durante
a o
realização realização
do de_o
Trabalho trabalho
de de
Conclusão conclusão
de de
Curso curso
. .
Por por
que que
será ser
feito fazer
: :
A o
mostra mostra
acontece acontecer
por por
duas dois
razões razão
: :
a o
primeira primeiro
para para
que que
os o
alunos aluno
realizadores realizador
tenham ter
a o
oportunidade oportunidade
de de
apresentar apresentar
seus seu
trabalhos trabalho
para para
as o
bancas banca
, ,
para para
os o
alunos aluno
mais mais
jovens jovem
e e
para para
a o
comunidade comunidade
; ;
a o
segunda segunda
é ser
para para
que que
os o
alunos aluno
mais mais
jovens jovem
possam poder
se se
inspirar inspirar
e e
idealizar idealizar
seus seu
futuros futuro
projetos projeto
. .
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
