Encontros encontros
online online
para para
orientação orientação
e e
apoio apoio
aos a_o
docentes docente
, ,
discentes discente
e e
administrativos administrativo
. .
Dificuldades dificuldade
de de
interação interação
em em
função função
do de_o
distanciamento distanciamento
social social
. .
Reuniões reunião
periódicas periódico
de de
esclarecimentos esclarecimento
. .
Disponibilidade disponibilidade
e e
utilização utilização
das de_o
novas novo
ferramentas ferramenta
de de
interação interação
. .
Treinamento treinamento
para para
as o
novas novo
tecnologias tecnologia
. .
Utilização utilização
de de
software software
e e
simuladores simulador
Utilização utilização
e e
familiarização familiarização
do de_o
uso uso
de de
novas novo
tecnologias tecnologia
. .
Mais muito
tempo tempo
disponível disponível
por por
não não
ser ser
necessário necessário
deslocamentos deslocamento
. .
Preferência preferência
pela por_o
reuniões reunião
online online
. .
