Reunião reunião
de de
NDE nde
Acompanhamento acompanhamento
das de_o
atividades atividade
do de_o
curso curso
, ,
acompanhamento acompanhamento
da de_o
situação situação
dos de_o
alunos aluno
, ,
estudo estudo
do de_o
PPC ppc
do de_o
curso curso
, ,
avaliação avaliação
dos de_o
projetos projeto
de de
curricularização curricularização
da de_o
extensão extensão
, ,
discussão discussão
sobre sobre
metodologias metodologia
didático-pedagógicas didático-pedagógico
em em
geral geral
. .
Debater debater
as o
demandas demanda
e e
melhorias melhoria
do de_o
curso curso
de de
Ciência ciência
de de
Dados dado
para para
o o
seu seu
desenvolvimento desenvolvimento
e e
fortalecimento fortalecimento
. .
O o
propósito propósito
é ser
acompanhar acompanhar
: :
Análise análise
da de_o
Estrutura estrutura
Curricular curricular
, ,
Acompanhamento acompanhamento
do de_o
Projeto projeto
Pedagógico pedagógico
de de
Curso curso
( (
PPC ppc
) )
, ,
Parcerias parceria
e e
Empregabilidade empregabilidade
, ,
Atualização atualização
Tecnológica tecnológica
, ,
Registro registro
e e
Formalização formalização
das de_o
Ações ação
Discutidas discutir
, ,
Alinhamento alinhamento
com com
o o
Mercado mercado
, ,
Cumprimento cumprimento
das de_o
Diretrizes diretriz
Legais legal
, ,
Melhoria melhoria
Contínua contínuo
e e
Planejamento planejamento
de de
Ações ação
Futuras futuro
. .
Acompanhamento acompanhamento
das de_o
atividades atividade
do de_o
curso curso
, ,
acompanhamento acompanhamento
da de_o
situação situação
dos de_o
alunos aluno
, ,
estudo estudo
do de_o
PPC ppc
do de_o
curso curso
, ,
avaliação avaliação
dos de_o
projetos projeto
de de
curricularização curricularização
da de_o
extensão extensão
, ,
discussão discussão
sobre sobre
metodologias metodologia
didático-pedagógicas didático-pedagógico
em em
geral geral
. .
