Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
às a_o
respostas resposta
dos de_o
alunos aluno
ao a_o
Questionário questionário
do de_o
Estudante estudante
: :
Numa em_um
análise análise
dos de_o
microdados microdado
, ,
concluímos concluir
que que
no em_o
geral geral
os o
alunos aluno
estão estar
satisfeitos satisfazer
com com
a o
estrutura estrutura
, ,
corpo corpo
docente docente
, ,
metodologia metodologia
de de
ensino ensino
, ,
plano plano
de de
ensino ensino
, ,
corpo corpo
acadêmico acadêmico
, ,
abordados abordar
nos em_o
questionários questionário
do de_o
estudante estudante
. .
