APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
1 1
Recursos recursos
tecnológicos tecnológico
: :
falta falta
ou ou
defasagem defasagem
de de
computadores computador
, ,
roteadores roteador
, ,
velocidade velocidade
da de_o
internet internet
, ,
etc etc
. .
Pedagógico pedagógico
: :
falta falta
de de
aquisição aquisição
de de
bibliografias bibliografia
. .
Infraestrutura infraestrutura
: :
reformas reforma
- -
sala sala
de de
aulas aula
, ,
laboratórios laboratório
, ,
e e
instalações instalação
elétricas elétrico
, ,
etc etc
. .
Gestão gestão
de de
pessoas pessoa
: :
número número
insuficiente insuficiente
de de
funcionários funcionário
. .
Imagem imagem
institucional institucional
: :
divulgação divulgação
dos de_o
cursos curso
e e
da de_o
unidade unidade
de de
ensino ensino
. .
Pedagógico pedagógico
: :
Projeto projeto
Pedagógico pedagógico
de de
Curso curso
com com
necessidade necessidade
de de
adequação adequação
. .
Pedagógico pedagógico
: :
evasão evasão
e e
trancamento trancamento
dos de_o
alunos aluno
. .
Vestibular vestibular
: :
baixa baixo
demanda demanda
no em_o
vestibular vestibular
, ,
alta alto
taxa taxa
de de
inscrição inscrição
. .
