De de
acordo acordo
com com
dados dado
do de_o
Sebrae sebrae
( (
2021 @card@
) )
, ,
Cubatão cubatão
em em
202 @card@
tinha ter
10 10
. .
034 @card@
empresas empresa
ativas ativo
e e
quase quase
11mil 11mil
empregos emprego
estavam estar
sendo ser
ocupados ocupar
pela por_o
Indústria indústria
, ,
seguido seguir
pelo por_o
Serviços serviços
com com
9 9
. .
985 @card@
empregados empregado
, ,
depois depois
a o
Administração administração
Pública pública
com com
3 3
. .
683 @card@
empregados empregado
e e
o o
Comércio comércio
com com
3 3
. .
149 149
empregados empregado
. .
