Em em
média média
90 90
% %
dos de_o
docentes docente
afirmam afirmar
que que
a o
FATEC fatec
Zona zona
Sul sul
forma formar
profissionais profissional
qualificados qualificar
; ;
é ser
um um
polo polo
de de
ciência ciência
, ,
tecnologia tecnologia
e e
inovação inovação
, ,
dissemina disseminar
cultura cultura
, ,
arte arte
, ,
valores valor
éticos ético
e e
democráticos democrático
, ,
promove promover
a o
inclusão inclusão
social social
e e
desenvolvimento desenvolvimento
sustentável sustentável
, ,
além além
de de
praticar praticar
a o
missão missão
da de_o
instituição instituição
. .
Promover promover
eventos evento
na em_o
unidade unidade
atrelados atrelar
aos a_o
valores valor
da de_o
difusão difusão
de de
ciência ciência
, ,
tecnologia tecnologia
e e
inovação inovação
, ,
cultura cultura
, ,
arte arte
, ,
ética ética
, ,
democracia democracia
, ,
inclusão inclusão
social social
e e
desenvolvimento desenvolvimento
sustentável sustentável
. .
