Participação participação
no em_o
Fórum fórum
de de
Ensino ensino
de de
Jogos jogo
Digitais digital
. .
O o
Prof prof
. .
Alan alan
Carvalho carvalho
, ,
Coordenador coordenador
do de_o
Curso curso
de de
Jogos jogo
Digitais digital
, ,
novamente novamente
foi ser
responsável responsável
pela por_o
organização organização
do de_o
Fórum fórum
de de
Ensino ensino
de de
Jogos jogo
Digitais digital
, ,
atividade atividade
realizada realizar
como como
parte parte
do de_o
SBGames sbgames
2022 @card@
, ,
o o
maior grande
simpósio simpósio
da de_o
América américa
Latina latina
voltado voltar
a a
discussões discussão
sobre sobre
jogos jogo
e e
entretenimento entretenimento
digital digital
. .
Nessa em_esse
atividade atividade
, ,
que que
já já
ocorre ocorrer
há há
sete sete
anos ano
, ,
docentes docente
, ,
pesquisadores pesquisador
e e
profissionais profissional
do de_o
setor setor
de de
diversas diversos
instituições instituição
de de
ensino ensino
e e
pesquisa pesquisa
, ,
bem bem
como como
de de
estúdios estúdio
brasileiros brasileiro
e e
empresas empresa
promotoras promotor
de de
cursos curso
livres livre
na em_o
área área
, ,
reúnem reunir
-se se
para para
discutir discutir
questões questão
relacionadas relacionar
à a_o
formação formação
de de
profissionais profissional
para para
o o
setor setor
. .
