Inicialmente inicialmente
, ,
cumpre cumprir
reconhecer reconhecer
que que
a o
declaração declaração
de de
MISSÃO missão
da de_o
Instituição instituição
é ser
desconhecida desconhecer
por por
boa bom
parte parte
dos de_o
alunos aluno
. .
Em em
pesquisa pesquisa
WEBSAI websai
de de
2022 @card@
, ,
cerca cerca
de de
45 45
% %
dos de_o
alunos aluno
não não
sabiam saber
do de_o
que que
se se
tratava tratar
. .
Ao a_o
indicar indicar
a o
missão missão
na em_o
questão questão
proposta propor
, ,
os o
alunos aluno
puderam poder
então então
avaliar avaliar
se se
a o
FATEC fatec
Praia praia
Grande grande
estaria estar
cumprindo cumprir
e e
o o
resultado resultado
foi ser
animador animador
, ,
pois pois
uma um
parte parte
significativa significativo
dos de_o
alunado alunado
reconhece reconhecer
que que
a o
missão missão
vem vir
sendo ser
cumprida cumprir
. .
A o
CPA cpa
propõe propor
investigar investigar
o o
percentual percentual
de de
cerca cerca
de de
12 12
% %
de de
alunos aluno
que que
entendem entender
que que
a o
missão missão
da de_o
instituição instituição
não não
vem vir
sendo ser
cumprida cumprir
a a
fim fim
de de
compreender compreender
a o
percepção percepção
do de_o
corpo corpo
discente discente
. .
Sugere sugerir
-se se
, ,
também também
, ,
que que
no em_o
início início
de de
cada cada
semestre semestre
letivo letivo
, ,
junto junto
com com
a o
apresentação apresentação
dos de_o
Planos planos
de de
Ensino ensino
, ,
a o
missão missão
e e
outros outro
elementos elemento
importantes importante
sejam ser
levados levar
ao a_o
conhecimento conhecimento
dos de_o
alunos aluno
, ,
tornando tornar
-se se
uma um
prática prática
. .
Considerando considerar
o o
alto alto
percentual percentual
de de
alunos aluno
que que
não não
conhece conhecer
o o
regimento regimento
, ,
sugere sugerir
-se se
que que
seja ser
publicado publicar
no em_o
site site
institucional institucional
da de_o
FATEC fatec
Praia praia
Grande grande
, ,
além além
de de
também também
ser ser
objeto objeto
de de
apresentação apresentação
nas em_o
aulas aula
inaugurais inaugural
no em_o
início início
de de
cada cada
semestre semestre
letivo letivo
. .
