96 @card@
% %
dos de_o
docentes docente
afirmam afirmar
que que
a o
Direção direção
atua atuar
de de
maneira maneira
excelente excelente
ou ou
muito muito
boa bom
na em_o
resolução resolução
de de
conflitos conflito
na em_o
FATEC fatec
Zona zona
Sul sul
, ,
2 2
% %
de de
forma forma
regular regular
e e
2 2
% %
não não
soube saber
responder responder
. .
Manter manter
o o
diálogo diálogo
com com
todos todo
os o
membros membro
da de_o
comunidade comunidade
acadêmica acadêmico
sem sem
grupos grupo
preferenciais preferencial
ou ou
favorecimento favorecimento
, ,
dar dar
preferência preferência
ao a_o
diálogo diálogo
e e
negociação negociação
para para
mediação mediação
de de
conflitos conflito
e e
evitar evitar
embates embate
desnecessários desnecessário
, ,
garantindo garantir
bom bom
ambiente ambiente
de de
trabalho trabalho
e e
qualidade qualidade
de de
vida vida
para para
todos todo
os o
membros membro
da de_o
comunidade comunidade
acadêmica acadêmico
. .
Além além
disso de_isso
, ,
manter manter
a o
atualização atualização
profissional profissional
em em
gestão gestão
de de
pessoas pessoa
de de
modo modo
que que
o o
clima clima
organizacional organizacional
seja ser
bom bom
para para
todos todo
. .
