APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
Baixa baixar
demanda demanda
nos em_o
cursos curso
da de_o
tarde tarde
. .
Atendimento atendimento
à a_o
comunidade comunidade
externa externo
. .
Evasão evasão
acima acima
de de
20 20
% %
. .
Velocidade velocidade
da de_o
internet internet
no em_o
campus campus
. .
Infraestrutura infraestrutura
externa externo
do de_o
campus campus
. .
Parcerias parceria
para para
estágios estágio
. .
Infraestrutura infraestrutura
dos de_o
laboratórios laboratório
. .
Parcerias parceria
com com
empresas empresa
para para
capacitações capacitação
. .
