Evolução evolução
da de_o
demanda demanda
por por
profissionais profissional
com com
formação formação
tecnológica tecnológico
– -
necessidades necessidade
setoriais setorial
Diadema diadema
encerrou encerrar
o o
ano ano
de de
2022 @card@
com com
quase quase
3 3
. .
000 @card@
empregos emprego
formais formal
gerados gerar
na em_o
cidade cidade
. .
Dados dado
do de_o
Caged caged
( (
Cadastro cadastro
Geral geral
de de
Empregados empregado
e e
Desempregados desempregado
) )
, ,
divulgados divulgar
nesta em_este
terça-feira terça-feira
31 31
/ /
01 @card@
/ /
2023 @card@
pelo por_o
Ministério ministério
da de_o
Fazenda fazenda
, ,
mostram mostrar
que que
o o
saldo saldo
do de_o
município município
foi ser
positivo positivo
em em
2 2
. .
917 @card@
postos posto
de de
trabalho trabalho
. .
Entre entre
os o
segmentos segmento
pesquisados pesquisar
no em_o
Caged caged
, ,
o o
que que
mais mais
gerou gerar
postos posto
de de
trabalho trabalho
em em
Diadema diadema
em em
2022 @card@
foi ir
o o
de de
Serviços serviços
, ,
com com
saldo saldo
positivo positivo
de de
1 1
. .
770 @card@
vagas vaga
. .
Na em_o
sequência sequência
vieram vir
Comércio comércio
( (
495 @card@
) )
, ,
Indústria indústria
( (
439 @card@
) )
e e
Construção construção
( (
213 @card@
) )
. .
