Como como
ocorreu ocorrer
com com
a o
maior grande
parte parte
dos de_o
municípios município
da de_o
região região
do de_o
ABC abc
, ,
marcada marcar
pelas por_o
indústrias indústria
metalúrgica metalúrgico
, ,
automobilística automobilístico
, ,
química químico
, ,
plástico plástico
e e
borracha borracha
, ,
a a
partir partir
da de_o
segunda segundo
metade metade
dos de_o
anos ano
de de
1980 1980
a o
economia economia
da de_o
região região
passou passar
por por
transformações transformação
, ,
provocada provocar
especialmente especialmente
pelo por_o
processo processo
de de
abertura abertura
econômica econômico
, ,
que que
trouxe trazer
uma um
nova novo
dinâmica dinâmica
à a_o
economia economia
brasileira brasileiro
. .
A o
economia economia
de de
Santo santo
André andré
que que
já já
teve ter
uma um
grande grande
representatividade representatividade
do de_o
setor setor
industrial industrial
. .
