Santo santo
André andré
possui possuir
um um
forte forte
ecossistema ecossistema
de de
( (
inovação inovação
e e
tecnologia tecnologia
/ /
atividades atividade
TI tu
/ /
serviço serviço
/ /
turismo turismo
/ /
indústria indústria
de de
transformação transformação
, ,
etc etc
. .
) )
, ,
com com
a o
presença presença
de de
grandes grande
empresas empresa
e e
instituições instituição
de de
pesquisa pesquisa
, ,
como como
( (
TIM tim
, ,
Pirelli pirelli
, ,
Magnetti magnetti
Marelli marelli
, ,
entre entre
outras outro
) )
. .
Essas esse
empresas empresa
e e
instituições instituição
demandam demandar
profissionais profissional
qualificados qualificar
em em
diversas diversos
áreas área
especialmente especialmente
nas em_o
áreas área
de de
desenvolvimento desenvolvimento
de de
softwares software
e e
manutenção manutenção
e e
projetos projeto
de de
automação automação
industrial industrial
) )
. .
Além além
disso de_isso
, ,
há haver
uma um
grande grande
quantidade quantidade
de de
empresas empresa
de de
tecnologia tecnologia
na em_o
região região
, ,
que que
também também
precisam precisar
de de
profissionais profissional
capacitados capacitar
para para
desenvolver desenvolver
e e
manter manter
seus seu
sistemas sistema
de de
informação informação
. .
