APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
1 1
Baixa baixar
demanda demanda
nos em_o
cursos curso
da de_o
tarde tarde
. .
2 2
Evasão evasão
acima acima
de de
20 20
% %
. .
3 3
Infraestrutura infraestrutura
do de_o
campus campus
. .
4 4
Infraestrutura infraestrutura
dos de_o
laboratórios laboratório
. .
5 5
Atendimento atendimento
à a_o
comunidade comunidade
externa externo
. .
6 6
Velocidade velocidade
da de_o
internet internet
no em_o
campus campus
. .
7 7
Parcerias parceria
para para
estágios estágio
. .
8 8
Parcerias parceria
com com
empresas empresa
para para
capacitações capacitação
. .
