Através através
do de_o
site site
, ,
as o
comunidades comunidade
acadêmicas acadêmico
, ,
interna interno
e e
externa externo
mantêm manter
-se se
informadas informar
a a
respeito respeito
dos de_o
serviços serviço
oferecidos oferecer
pela por_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
, ,
bem bem
como como
a a
respeito respeito
da de_o
realização realização
de de
eventos evento
, ,
semanas semana
de de
cursos curso
, ,
palestras palestra
, ,
workshops workshop
, ,
entre entre
outros outro
. .
Para para
reforçar reforçar
o o
fluxo fluxo
de de
informações informação
, ,
a o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
conta contar
, ,
também também
, ,
com com
os o
murais mural
informativos informativo
instalados instalar
nas em_o
salas-de-aula salas-de-aula
, ,
no em_o
hall hall
e e
em em
diversas diversos
dependências dependência
da de_o
faculdade faculdade
. .
Esses esse
murais mural
têm ter
como como
finalidade finalidade
socializar socializar
todas todo
as o
informações informação
pertinentes pertinente
ao a_o
alunado alunado
, ,
docentes docente
e e
comunidade comunidade
, ,
servindo servir
como como
propagadores propagador
de de
informações informação
. .
Além além
dos de_o
murais mural
supracitados supracitado
, ,
a o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
conta contar
, ,
também também
, ,
com com
diversas diversos
ações ação
internas interno
de de
comunicação comunicação
, ,
como como
a o
TV tv
Fatec fatec
que que
foi ser
criada criar
há há
três três
anos ano
, ,
tendo ter
como como
público público
algo algo
principal principal
a o
comunidade comunidade
acadêmica acadêmico
, ,
com com
programação programação
quinzenal quinzenal
e e
função função
de de
publicizar publicizar
as o
ações ação
institucionais institucional
, ,
palestras palestra
, ,
fóruns fórum
, ,
eventos evento
e e
informes informe
. .
Por por
fim fim
, ,
ressaltamos ressaltar
que que
, ,
para para
a o
análise análise
desse de_esse
aspecto aspecto
, ,
foram ser
considerados considerar
os o
mecanismos mecanismo
de de
comunicação comunicação
existentes existente
na em_o
Fatec fatec
São são
Caetano caetano
do de_o
Sul sul
- -
Antonio antonio
Russo russo
e e
que que
encontram encontrar
-se se
em em
pleno pleno
funcionamento funcionamento
. .
Promovendo promover
todos todo
os o
esforços esforço
para para
mante mantar
o o
diálogo diálogo
com com
sua seu
comunidade comunidade
acadêmica acadêmico
por por
meio meio
de de
softwares software
de de
troca troca
de de
mensagens mensagem
( (
telegrama telegrama
, ,
whatzapp whatzapp
e e
teams teams
) )
. .
