Comentários comentário
e e
Esclarecimentos esclarecimento
Adicionais adicional
quanto quanto
a a
Avaliação avaliação
das de_o
questões questão
com com
maior grande
número número
de de
erros erro
– -
FORMAÇÃO formação
ESPECÍFICA específico
: :
As o
questões questão
de de
formação formação
específica específico
analisadas analisar
estão estar
em em
consonância consonância
com com
as o
competências competência
profissionais profissional
descritas descrever
no em_o
PPC ppc
, ,
desta de_este
forma forma
, ,
nos nós
remete remeter
a a
refletir refletir
e e
discutir discutir
sobre sobre
os o
conteúdos conteúdo
ministrados ministrar
em em
aula aula
e e
considerar considerar
as o
possíveis possível
ações ação
sugeridas sugerir
a a
serem ser
adotadas adotar
para para
minimizar minimizar
o o
problema problema
. .
