ORGANIZAR organizar
PROGRAMA programa
DE de
BOLSAS bolsa
MONITORIA monitoria
DE de
DISCIPLINAS disciplina
- -
MD md
. .
O o
que que
será ser
feito fazer
: :
Edital edital
de de
seleção seleção
de de
alunos aluno
monitores monitor
de de
disciplinas disciplina
com com
bolsas bolsa
semestrais semestral
para para
o o
curso curso
de de
Análise análise
e e
Desenvolvimento desenvolvimento
de de
Sistemas sistemas
, ,
Comércio comércio
Exterior exterior
, ,
Gestão gestão
Empresarial empresarial
e e
Processos processos
Químicos químico
. .
Por por
que que
será ser
feito fazer
: :
Para para
apoiar apoiar
a o
aprendizagem aprendizagem
dos de_o
alunos aluno
em em
disciplinas disciplina
de de
maior grande
dificuldade dificuldade
, ,
por por
meio meio
dos de_o
alunos aluno
monitores monitor
e e
orientação orientação
dos de_o
professores professor
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Alcançar alcançar
maior grande
nível nível
de de
aprendizagem aprendizagem
para para
a o
melhoria melhoria
da de_o
formação formação
profissional profissional
dos de_o
alunos aluno
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Reduzir reduzir
a o
evasão evasão
escolar escolar
em em
10 10
% %
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Alcançar alcançar
maior grande
grau grau
de de
excelência excelência
no em_o
processo processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
E e
aumentar aumentar
a o
eficiência eficiência
, ,
a o
produtividade produtividade
e e
a o
competitividade competitividade
da de_o
instituição instituição
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Reduzir reduzir
a o
evasão evasão
escolar escolar
em em
10 10
% %
e e
aumentar aumentar
a o
empregabilidade empregabilidade
dos de_o
alunos aluno
em em
10 10
% %
. .
Aumentar aumentar
em em
20 20
% %
a o
demanda demanda
candidato-vaga candidato-vaga
dos de_o
cursos curso
da de_o
unidade unidade
. .
Objetivo objetivo
( (
s s
) )
relacionado relacionar
( (
s s
) )
: :
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
Meta meta
( (
s s
) )
relacionada relacionar
( (
s s
) )
: :
Reduzir reduzir
a o
evasão evasão
escolar escolar
em em
10 10
% %
e e
aumentar aumentar
a o
empregabilidade empregabilidade
dos de_o
alunos aluno
em em
10 10
% %
. .
Aumentar aumentar
em em
20 20
% %
a o
demanda demanda
candidato-vaga candidato-vaga
dos de_o
cursos curso
da de_o
unidade unidade
. .
