Solicitação solicitação
de de
bibliografia bibliografia
básica básico
para para
o o
curso curso
de de
DSM dsm
para para
Formação formação
de de
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
e e
alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
nos em_o
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
Documento documento
com com
instruções instrução
quanto quanto
à a_o
elaboração elaboração
de de
referências referência
bibliográficas bibliográfico
de de
acordo acordo
com com
a o
norma norma
ABNT abnt
NBR nbr
6023 @card@
/ /
2018 @card@
. .
Documento documento
com com
instruções instrução
quanto quanto
à a_o
elaboração elaboração
de de
citações citação
diretas direto
, ,
indiretas indireto
e e
citação citação
de de
citação citação
de de
acordo acordo
com com
a o
norma norma
ABNT abnt
NBR nbr
10520 @card@
/ /
2023 @card@
A o
aplicação aplicação
da de_o
norma norma
de de
referência referência
garante garantir
a o
qualidade qualidade
e e
credibilidade credibilidade
dos de_o
trabalhos trabalho
acadêmicos acadêmico
. .
O o
desenvolvimento desenvolvimento
do de_o
guia guia
prático prático
para para
referências referência
bibliográficas bibliográfico
e e
citações citação
busca buscar
dar dar
suporte suporte
aos a_o
usuários usuário
da de_o
biblioteca biblioteca
, ,
os o
auxiliando auxiliar
na em_o
promoção promoção
da de_o
produção produção
acadêmica acadêmico
alinhada alinhar
aos a_o
padrões padrão
estabelecidos estabelecer
. .
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
