APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
1 1
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
2 2
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
3 3
Manutenção manutenção
e e
conservação conservação
predial predial
4 4
Quantidade quantidade
de de
professores professor
/ /
funcionários funcionário
5 5
Infraestrutura infraestrutura
predial predial
( (
espaços espaço
, ,
sistemas sistema
) )
6 6
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
