APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
- -
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
- -
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
- -
Manutenção manutenção
e e
conservação conservação
predial predial
- -
Acesso acesso
/ /
Inclusão inclusão
ao a_o
Ensino ensino
Superior superior
( (
social social
, ,
PCD pcd
) )
- -
Infraestrutura infraestrutura
laboratorial laboratorial
e e
ambientes ambiente
de de
ensino ensino
- -
Gestão gestão
da de_o
unidade unidade
de de
ensino ensino
e e
dos de_o
cursos curso
( (
indicadores indicador
) )
- -
Materiais material
, ,
equipamentos equipamento
e e
mobiliários mobiliário
- -
Segurança segurança
pessoal pessoal
e e
patrimonial patrimonial
