Adequação adequação
/ /
reestruturação reestruturação
de de
PPC ppc
, ,
implantação implantação
de de
novos novo
cursos curso
. .
O o
que que
será ser
feito fazer
: :
Estruturação estruturação
de de
proposta proposta
para para
atualização atualização
do de_o
PPC ppc
do de_o
CST cst
em em
Jogos jogo
Digitais digital
por por
meio meio
de de
análise análise
do de_o
perfil perfil
profissional profissional
do de_o
egresso egresso
atual atual
, ,
das de_o
necessidades necessidade
do de_o
setor setor
e e
da de_o
identificação identificação
de de
novo novo
perfil perfil
profissional profissional
do de_o
egresso egresso
, ,
competências competência
a a
serem ser
desenvolvidas desenvolver
e e
definição definição
de de
nova novo
estrutura estrutura
curricular curricular
de de
forma forma
a a
contemplar contemplar
essas esse
competências competência
. .
por por
que que
será ser
feito fazer
: :
Atualização atualização
do de_o
Projeto projeto
Pedagógico pedagógico
do de_o
Curso curso
em em
função função
das de_o
necessidades necessidade
do de_o
setor setor
. .
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
