Para para
o o
Espaço espaço
Maker maker
foram ser
recebidos receber
15 15
notebooks notebook
, ,
01 @card@
plataforma plataforma
de de
carregamento carregamento
, ,
01 @card@
impressora impressora
3D 3d
, ,
01 @card@
kit kit
Arduino arduino
, ,
15 15
caixa caixa
de de
som som
portátil portátil
e e
02 @card@
televisões televisão
de de
65 65
" "
. .
Foram ser
realizadas realizar
adequações adequação
na em_o
sala sala
do de_o
Espaço espaço
Maker maker
, ,
com com
reparos reparo
na em_o
laje laje
da de_o
sala sala
, ,
instalação instalação
de de
luminárias luminária
, ,
adequações adequação
da de_o
parte parte
elétrica elétrico
e e
reparos reparo
nas em_o
paredes parede
mais mais
a o
pintura pintura
. .
