A o
cidade cidade
de de
Mauá mauá
é ser
um um
município município
da de_o
Região região
Metropolitana metropolitana
do de_o
Estado estado
de de
São são
Paulo paulo
localizada localizar
na em_o
região região
do de_o
Grande grande
ABC abc
. .
Segundo segundo
dados dado
publicados publicar
pelo por_o
IBGE ibge
( (
2020 @card@
) )
possui possuir
uma um
população população
estimada estimar
de de
481 @card@
. .
725 @card@
habitantes habitante
, ,
contando contar
com com
um um
arranjo arranjo
produtivo produtivo
estruturado estruturar
por por
11 11
. .
212 212
empresas empresa
, ,
das de_o
quais qual
, ,
4 4
. .
494 @card@
são ser
comércios comércio
, ,
4 4
. .
364 @card@
do de_o
setor setor
de de
serviços serviço
, ,
1 1
. .
534 @card@
indústrias indústria
, ,
804 @card@
da de_o
área área
de de
construção construção
civil civil
e e
16 16
do de_o
segmento segmento
da de_o
agropecuária agropecuário
( (
SEBRAE sebrae
, ,
2020 @card@
) )
. .
