APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
Evasão evasão
escolar escolar
Baixa baixar
demanda demanda
do de_o
Processo processo
Seletivo seletivo
– -
Vestibular vestibular
Aquisição aquisição
de de
materiais material
e e
equipamentos equipamento
diversos diverso
Manutenção manutenção
predial predial
e e
ambientação ambientação
educacional educacional
DEFINIÇÃO definição
DE de
OBJETIVOS objetivo
, ,
METAS meta
E e
AÇÕES ação
( (
PROJETOS projeto
) )
