Objetivando objetivar
expandir expandir
a o
oferta oferta
de de
cursos curso
à a_o
comunidade comunidade
local local
, ,
em em
2018 @card@
foi ser
realizada realizar
uma um
pesquisa pesquisa
entre entre
empresários empresário
locais local
e e
Prefeitura prefeitura
de de
Diadema diadema
a a
fim fim
de de
identificar identificar
o o
perfil perfil
da de_o
região região
. .
Ficou ficar
evidente evidente
a o
importância importância
do de_o
setor setor
da de_o
indústria indústria
no em_o
estado estado
de de
São são
Paulo paulo
e e
na em_o
região região
do de_o
grande grande
ABC abc
e e
Diadema diadema
. .
Por por
meio meio
desses de_esse
contatos contato
identificou identificar
-se se
a o
necessidade necessidade
e e
a o
existência existência
de de
demanda demanda
para para
a o
oferta oferta
do de_o
CST cst
em em
Gestão gestão
da de_o
Produção produção
Industrial industrial
. .
Em em
agosto agosto
de de
2019 @card@
recebemos receber
autorização autorização
da de_o
CESU cesu
para para
a o
oferta oferta
desse de_esse
curso curso
, ,
no em_o
período período
noturno noturno
, ,
com com
a o
oferta oferta
de de
40 40
vagas vaga
. .
