Dentre dentrar
os o
Servidores servidores
Administrativos administrativos
, ,
as o
questões questão
12 12
e e
13 13
não não
são ser
condizentes condizente
, ,
pois pois
não não
cabe caber
aos a_o
funcionários funcionário
administrativos administrativo
avaliarem avaliar
o o
conjunto conjunto
de de
laboratórios laboratório
e e
ambientes ambiente
de de
ensino ensino
, ,
disponibilidade disponibilidade
de de
horários horário
e e
recursos recurso
tecnológicos tecnológico
utilizados utilizar
pelos por_o
cursos curso
. .
Por por
isso isso
, ,
nesta em_este
dimensão dimensão
, ,
também também
foi ser
considerado considerar
o o
perfil perfil
detalhado detalhar
, ,
dando dar
ênfase ênfase
aos a_o
coordenadores coordenador
de de
curso curso
. .
Em em
relação relação
à a_o
questão questão
12 12
, ,
18 18
, ,
18 18
% %
avaliaram avaliar
como como
" "
Excelente excelente
" "
, ,
36 36
, ,
36 36
% %
" "
Boa bom
" "
, ,
31 31
, ,
82 82
% %
" "
Regular regular
" "
e e
13 13
, ,
64 64
% %
" "
Insuficiente insuficiente
" "
. .
