Na em_o
questão questão
8 8
, ,
que que
avalia avaliar
os o
canais canal
de de
comunicação comunicação
da de_o
Fatec fatec
Ipiranga ipiranga
, ,
66 66
, ,
52 52
% %
avaliaram avaliar
como como
" "
Excelente excelente
e e
Bom bom
" "
, ,
23 23
, ,
74 74
% %
" "
Regular regular
" "
, ,
8 8
, ,
75 75
% %
" "
Insuficiente insuficiente
" "
e e
apenas apenas
0 0
, ,
987 @card@
% %
" "
Não não
souberam saber
responder responder
" "
. .
Quanto quanto
ao a_o
perfil perfil
docente docente
, ,
em em
relação relação
à a_o
questão questão
7 7
, ,
97 97
, ,
98 98
% %
avaliaram avaliar
como como
" "
Excelente excelente
e e
Bom bom
" "
, ,
sendo ser
que que
apenas apenas
2 2
, ,
02 @card@
% %
avaliaram avaliar
como como
Regular regular
. .
Este este
resultado resultado
é ser
extremamente extremamente
positivo positivo
, ,
sendo ser
um um
reflexo reflexo
da de_o
gestão gestão
realizada realizar
pela por_o
direção direção
e e
coordenadores coordenador
de de
cursos curso
. .
A o
questão questão
8 8
referente referente
aos a_o
Canais canal
de de
Comunicação comunicação
, ,
93 93
, ,
94 94
% %
do de_o
Corpo corpo
Docente docente
avaliaram avaliar
como como
" "
Excelente excelente
e e
Bom bom
" "
, ,
sendo ser
que que
apenas apenas
6 6
, ,
06 @card@
% %
afirmaram afirmar
" "
Regular regular
" "
. .
