DEFINIÇÃO definição
DE de
OBJETIVOS objetivo
, ,
METAS meta
E e
AÇÕES ação
( (
PROJETOS projeto
) )
Objetivos objetivo
1 1
Atender atender
às a_o
demandas demanda
sociais social
e e
do de_o
mercado mercado
de de
trabalho trabalho
. .
2 2
Alcançar alcançar
e e
manter manter
o o
grau grau
de de
excelência excelência
em em
seus seu
processos processo
de de
ensino ensino
e e
aprendizagem aprendizagem
. .
3 3
Garantir garantir
celeridade celeridade
e e
efetividade efetividade
na em_o
prestação prestação
de de
serviços serviço
. .
4 4
Formar formar
profissionais profissional
atualizados atualizar
em em
tecnologias tecnologia
e e
processos processo
produtivos produtivo
, ,
capazes capaz
de de
atuar atuar
no em_o
desenvolvimento desenvolvimento
tecnológico tecnológico
e e
inovação inovação
. .
5 5
Aumentar aumentar
a o
eficiência eficiência
, ,
a o
produtividade produtividade
e e
a o
competitividade competitividade
da de_o
instituição instituição
