Adequação adequação
/ /
reestruturação reestruturação
de de
PPC ppc
, ,
implantação implantação
de de
novos novo
cursos curso
. .
O o
que que
será ser
feito fazer
: :
Estruturação estruturação
de de
proposta proposta
atualização atualização
do de_o
PPC ppc
do de_o
CST cst
em em
ADS ads
mediante mediante
análise análise
dos de_o
conteúdos conteúdo
programáticos programático
dos de_o
componentes componente
curriculares curricular
do de_o
curso curso
, ,
e e
construção construção
de de
nova novo
grade grade
curricular curricular
segundo segundo
as o
exigências exigência
mercadológicas mercadológico
e e
legislação legislação
vigente vigente
. .
Por por
que que
será ser
feito fazer
: :
Para para
atualização atualização
do de_o
Projeto projeto
Pedagógico pedagógico
do de_o
Curso curso
em em
virtude virtude
do de_o
avanço avanço
tecnológico tecnológico
na em_o
área área
da de_o
tecnologia tecnologia
da de_o
informação informação
e e
comunicação comunicação
( (
TIC tic
) )
Situação situação
problema problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
( (
a a
ser ser
resolvida resolver
/ /
mitigada mitigar
) )
