Divulgação divulgação
do de_o
vestibular vestibular
e e
ações ação
de de
fortalecimento fortalecimento
de de
imagem imagem
institucional institucional
O o
que que
será ser
feito fazer
: :
English english
Hub hub
– -
Curso curso
de de
Inglês inglês
para para
a o
Comunidade comunidade
. .
Por por
que que
será ser
feito fazer
: :
Divulgar divulgar
a o
instituição instituição
por por
meio meio
de de
aulas aula
de de
inglês inglês
básico básico
abertas abrir
à a_o
comunidade comunidade
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
