APONTAMENTO apontamento
DE de
SITUAÇÕES-PROBLEMA situações-problema
MAIS mais
RELEVANTES relevante
( (
" "
Escuta escuta
" "
) )
1 1
Pedagógico pedagógico
: :
Projeto projeto
Pedagógico pedagógico
de de
Curso curso
com com
necessidades necessidade
de de
reestruturação reestruturação
2 2
Gestão gestão
de de
pessoas pessoa
: :
conflitos conflito
de de
relacionamento relacionamento
entre entre
docentes docente
, ,
discentes discente
, ,
servidores servidor
, ,
clima clima
organizacional organizacional
, ,
etc etc
. .
3 3
Recursos recursos
tecnológicos tecnológico
: :
falta falta
ou ou
defasagem defasagem
de de
computadores computador
, ,
roteadores roteador
, ,
velocidade velocidade
da de_o
internet internet
, ,
etc etc
4 4
Parcerias parceria
: :
prospecção prospecção
e e
gestão gestão
de de
parcerias parceria
. .
5 5
Infraestrutura infraestrutura
: :
reformas reforma
– -
salas sala
de de
aulas aula
, ,
laboratórios laboratório
, ,
instalações instalação
elétricas elétrico
, ,
etc etc
6 6
Pedagógico pedagógico
: :
evasão evasão
e e
trancamento trancamento
de de
alunos aluno
. .
7 7
Imagem imagem
institucional institucional
: :
divulgação divulgação
dos de_o
cursos curso
e e
da de_o
unidade unidade
de de
ensino ensino
. .
8 8
Pedagógico pedagógico
: :
falta falta
de de
aquisição aquisição
de de
bibliografias bibliografia
