Virada virar
da de_o
Maturidade maturidade
- -
Ações ação
pedagógicas pedagógico
: :
visitas visita
técnicas técnico
, ,
projetos projeto
integradores integrador
/ /
interdisciplinares interdisciplinar
, ,
dias dia
de de
campo campo
, ,
feira feira
das de_o
profissões profissão
, ,
cursos curso
extracurriculares extracurricular
para para
alunos aluno
. .
O o
que que
será ser
feito fazer
: :
Atividades atividade
lúdicas lúdico
, ,
educativas educativo
e e
de de
saúde saúde
voltadas voltar
à a_o
Terceira terceira
Idade idade
situação-problema situação-problema
: :
Metodologia metodologia
de de
ensino ensino
, ,
desempenho desempenho
de de
alunos aluno
, ,
evasão evasão
Participação participação
da de_o
comunidade comunidade
e e
sociedade sociedade
