Merece merecer
destaque destaque
apontado apontar
nos em_o
gráficos gráfico
acima acima
o o
fato fato
de de
mais mais
de de
62 62
% %
dos de_o
alunos aluno
considerarem considerar
bom bom
ou ou
excelente excelente
o o
nível nível
de de
preparo preparo
dos de_o
funcionários funcionário
para para
a o
execução execução
de de
suas seu
funções função
, ,
e e
também também
é ser
de de
se se
salientar salientar
uma um
grande grande
potencialidade potencialidade
no em_o
fato fato
de de
90 90
% %
dos de_o
docentes docente
enxergar enxergar
como como
boas bom
ou ou
ótimas ótimo
as o
oportunidades oportunidade
de de
formação formação
e e
capacitação capacitação
oferecidas oferecer
pelo por_o
CPS cps
, ,
assim assim
como como
a o
qualidade qualidade
das de_o
capacitações capacitação
, ,
sendo ser
que que
95 95
% %
deles de_eles
avalia avaliar
as o
ações ação
acadêmicas acadêmico
e e
administrativas administrativo
da de_o
Fatec fatec
como como
boas bom
ou ou
muito muito
boas bom
, ,
sendo ser
que que
80 80
% %
julga julgar
boa bom
ou ou
ótima ótimo
a o
transparência transparência
em em
relação relação
aos a_o
indicadores indicador
para para
progressão progressão
e e
promoção promoção
da de_o
evolução evolução
funcional funcional
. .
